perturbation_id,target_gene,PRG4_UP_enrichment,PRG4_DOWN_enrichment,prg4_mimetic_score,is_ARE_gene,is_age_UP,is_age_DOWN
3398_GLMN_P1P2_ENSG00000174842,GLMN,0.11340524866512926,-0.013574392459533584,0.12697964112466284,False,False,False
4362_KIAA1324L_P1P2_ENSG00000164659,KIAA1324L,0.0837479180355784,-0.042983225536547556,0.12673114357212595,False,False,False
6921_PTP4A3_P1P2_ENSG00000184489,PTP4A3,0.08257275692262511,-0.044054775504576864,0.12662753242720198,False,False,False
2293_DNAJC1_P1P2_ENSG00000136770,DNAJC1,0.09467877173808274,-0.03186015021032466,0.1265389219484074,False,False,False
2343_DPF2_P1_ENSG00000133884,DPF2,0.11400965317652777,-0.01251742140263377,0.12652707457916154,False,False,False
6290_PHF3_P1P2_ENSG00000118482,PHF3,0.05547046617606752,-0.07080580969608512,0.12627627587215262,False,False,False
2847_FAM126A_P1P2_ENSG00000122591,FAM126A,0.04989214587029292,-0.07609827136899944,0.12599041723929236,False,False,False
8426_SRRT_P1P2_ENSG00000087087,SRRT,0.0735107773154597,-0.05234415421318645,0.12585493152864616,False,False,False
1497_CEP152_P1P2_ENSG00000103995,CEP152,0.10441622527369977,-0.02135541087570933,0.12577163614940912,False,False,False
4255_JMJD6_P1P2_ENSG00000070495,JMJD6,0.07612713815564486,-0.04941046528119461,0.12553760343683945,False,False,False
4847_MARCH7_P1P2_ENSG00000136536,MARCH7,0.035547444417662374,-0.08944970156810442,0.12499714598576679,False,False,False
5414_MZT1_P1P2_ENSG00000204899,MZT1,0.1278722775656964,0.002966016082757565,0.12490626148293885,False,False,False
2251_DMAP1_P1P2_ENSG00000178028,DMAP1,0.05363461105767807,-0.07119341857242348,0.12482802963010155,False,False,False
10030_ZC3HAV1_P1P2_ENSG00000105939,ZC3HAV1,0.055845624647502805,-0.0689222777647042,0.124767902412207,False,False,False
10731_ZSCAN9_P1P2_ENSG00000137185,ZSCAN9,0.05747361744433438,-0.0672605988287746,0.12473421627310897,False,False,False
"9247_TRAPPC2_ENST00000358231.5,ENST00000359680.5,ENST00000380579.1_ENSG00000196459",TRAPPC2,0.056032732183549684,-0.0685159698501779,0.12454870203372759,False,False,False
10390_ZNF485_P1P2_ENSG00000198298,ZNF485,0.06458276041477493,-0.05984595478794419,0.12442871520271911,False,False,False
4935_MED14_P1P2_ENSG00000180182,MED14,0.10183948720585399,-0.022509363384906302,0.1243488505907603,False,False,False
470_ARHGAP5_P1P2_ENSG00000100852,ARHGAP5,0.11915715444972377,-0.00518961696287998,0.12434677141260375,False,False,False
4085_IKZF4_P1_ENSG00000123411,IKZF4,0.06489722686191256,-0.059402882662742997,0.12430010952465556,False,False,False
6781_PRNP_P1P2_ENSG00000171867,PRNP,0.09973429157549102,-0.02442950106053653,0.12416379263602755,False,False,False
408_APMAP_P1P2_ENSG00000101474,APMAP,0.08819636039678747,-0.03570613035289671,0.12390249074968418,False,False,False
6834_PSAT1_P1P2_ENSG00000135069,PSAT1,0.09459355133090844,-0.02907747978166501,0.12367103111257345,False,False,False
7817_SETD3_P1P2_ENSG00000183576,SETD3,0.0907036013798159,-0.03276214110325918,0.12346574248307507,False,False,False
11118_non-targeting_non-targeting_non-targeting,non-targeting,0.06468370414430609,-0.058781060409778416,0.1234647645540845,False,False,False
4325_KDM4B_P1P2_ENSG00000127663,KDM4B,0.06814283506282015,-0.055161053389715685,0.12330388845253584,False,False,False
6297_PHKA2_P1P2_ENSG00000044446,PHKA2,0.07215731372697931,-0.051069767220744494,0.1232270809477238,False,False,False
7686_SCAP_P1P2_ENSG00000114650,SCAP,0.07364253875681034,-0.04952345184244949,0.12316599059925984,False,False,False
7155_RBM14-RBM4_P1_nan,RBM14-RBM4,0.07770355845514584,-0.04535736952072631,0.12306092797587215,False,False,False
10005_ZBTB4_P1_ENSG00000174282,ZBTB4,0.06247520628605853,-0.06042404030751986,0.1228992465935784,True,False,False
11219_non-targeting_non-targeting_non-targeting,non-targeting,0.10400867675820946,-0.018767020284494722,0.12277569704270419,False,False,False
2152_DENND4B_P1_ENSG00000198837,DENND4B,0.07602902462413792,-0.04630214634849782,0.12233117097263574,False,False,False
4238_ITPR2_P1P2_ENSG00000123104,ITPR2,0.07067774909319666,-0.051624716642223276,0.12230246573541993,False,False,False
"2019_DACH2_ENST00000373125.4,ENST00000373131.1_ENSG00000126733",DACH2,0.04878852587406343,-0.07333081371717072,0.12211933959123415,False,False,False
9259_TRIB2_P1P2_ENSG00000071575,TRIB2,0.10914737297088556,-0.01293228650412769,0.12207965947501324,True,False,False
8680_TANGO6_P1P2_ENSG00000103047,TANGO6,0.04375910675176757,-0.07779766531415565,0.12155677206592322,False,False,False
8410_SRI_P1_ENSG00000075142,SRI,0.07949098574067623,-0.04187142509648635,0.12136241083716258,False,False,False
5439_NABP2_P1_ENSG00000139579,NABP2,0.058843433288065856,-0.06250026741209266,0.12134370070015851,False,False,False
4926_MEAF6_P1P2_ENSG00000163875,MEAF6,0.043060047839780624,-0.07827623391862908,0.1213362817584097,False,False,False
136_ADAR_P1_ENSG00000160710,ADAR,0.08347433222656862,-0.03781468460823524,0.12128901683480386,False,False,False
8771_ELOA_P1P2_ENSG00000011007,ELOA,0.06220696640665006,-0.058868850809406965,0.12107581721605704,False,False,False
4902_MCM5_P1P2_ENSG00000100297,MCM5,0.08743252139669014,-0.03353133713177359,0.12096385852846372,False,False,False
3665_HDAC5_P1P2_ENSG00000108840,HDAC5,0.04583615763511166,-0.07511134247209217,0.12094750010720383,False,False,False
331_ANKRD16_P1P2_ENSG00000134461,ANKRD16,0.10503006377851253,-0.015805282795220966,0.12083534657373349,False,True,False
4802_MAP2K3_P1P2_ENSG00000034152,MAP2K3,0.049108495484026016,-0.07152081020713935,0.12062930569116537,False,False,False
9461_TXN_P1P2_ENSG00000136810,TXN,0.1451908882089076,0.02460872658757611,0.1205821616213315,True,False,False
7828_SEZ6L2_P1P2_ENSG00000174938,SEZ6L2,0.10515836608894469,-0.015408165933363272,0.12056653202230797,False,False,False
