target_gene,perturbation_id,age_direction,ARE_enrichment,n_ARE_genes
MEST,4981_MEST_P2_ENSG00000106484,DOWN,-0.09236725663716815,128
UHRF1,9583_UHRF1_P1P2_ENSG00000276043,DOWN,-0.09251879015638259,128
DNAJA1,2275_DNAJA1_P2_ENSG00000086061,DOWN,-0.09275556128015518,128
MED22,4945_MED22_P1P2_ENSG00000148297,UP,-0.09601542611225602,128
TSEN54,9339_TSEN54_P1P2_ENSG00000182173,DOWN,-0.09618400715238211,128
PEMT,6216_PEMT_P1P2_ENSG00000133027,UP,-0.09985301248636198,128
SRA1,8395_SRA1_P1P2_ENSG00000213523,UP,-0.10100845557037216,128
GGT1,3360_GGT1_P2_ENSG00000286070,UP,-0.10141759607225118,128
BCAT1,787_BCAT1_P1P2_ENSG00000060982,UP,-0.10248969572069341,128
DEAF1,2136_DEAF1_P1P2_ENSG00000177030,UP,-0.1033420717662747,128
ZBTB46,10000_ZBTB46_P1P2_ENSG00000130584,DOWN,-0.1080452933688932,128
MAN2A1,4786_MAN2A1_P1P2_ENSG00000112893,UP,-0.1095606285610377,128
ANGPT1,312_ANGPT1_P1P2_ENSG00000154188,DOWN,-0.11009383713177355,128
BEST1,818_BEST1_P1_ENSG00000167995,UP,-0.11675468238574373,128
SP5,8310_SP5_P1P2_ENSG00000204335,UP,-0.12226671414716936,128
PAQR4,6066_PAQR4_P1P2_ENSG00000162073,UP,-0.12657784276882048,128
APLP2,407_APLP2_P1P2_ENSG00000084234,UP,-0.12722375439447206,128
TPM1,9203_TPM1_P1_ENSG00000140416,DOWN,-0.13378136743847738,128
WDR26,9812_WDR26_P1P2_ENSG00000162923,DOWN,-0.14424475694023517,128
SLC25A39,8005_SLC25A39_P1_ENSG00000013306,UP,-0.14447016305006669,128
