gene,rescue_lfc,rescue_pval,h2o2_lfc,h2o2_pval
KIF25,4.29964310247746,0.0230105578183469,1.84385691841631,0.405859399757027
TEDDM1,4.29953744853969,0.146300824255304,0,1
SLITRK3,-4.29705265359664,0.109868561709096,4.01805598405611,0.134915649976324
SLC24A3,4.22325811780196,0.078647086755411,-3.17895590177485,0.194971148781523
PNMA5,4.22209543131144,0.232153376566105,-1.80576066479948,0.621759795110001
GH2,4.22153935649015,0.319319281893923,0,1
DSPP,4.22016226737373,0.318930486116541,0,1
OR4N2,4.2190324797556,0.237505320361614,0,1
ABCC12,4.2169617616159,0.171618024891746,-0.958666875660565,0.769843049402138
NR5A2,-4.20842135869417,0.190502969808119,2.96764254548965,0.355932532234609
TRIM43,-4.19984767635745,0.248637569811819,1.116632188478,0.751215783150843
H4C2,4.19284600273565,0.325804078734982,0,1
IL12B,4.19113199808269,0.243026441983268,0,1
IL4,4.17977225189669,0.0019777203666312,-3.6295280360786,0.0078238864100408
BARX1,-4.17389686539383,0.075301123101647,-0.722490437013705,0.726706689633222
PHACTR3,4.17356331673945,0.0372578663016319,-1.91379103211379,0.363714749446544
ADIG,4.16559773906399,0.329001007710129,0,1
SPATS1,4.16554571732134,0.252759292166609,-0.958669455424373,0.801092507061856
CD19,4.16412021396482,0.249054079211287,0,1
AGTR1,4.15983963393812,0.245955776814222,-1.80550546712445,0.626419982368353
MMP13,4.13784745294203,0.332277910722309,0,1
CBLC,4.11892311864297,0.0405334970728,1.81763501458315,0.433273383903573
C1orf185,4.10957720289519,0.335638077296434,0,1
DPEP3,4.10957720289519,0.335638077296434,0,1
OR2M4,-4.10943630928546,0.336793861142793,3.83042229648014,0.370612810676643
GALNT14,4.10540922609733,0.0104003236322173,-4.45104842540482,0.0054318018935265
CFHR3,4.10489656252408,0.186237750638257,-1.8465352596117,0.568971908650452
GLYATL3,4.10360990901189,0.336350162295264,0,1
OPRM1,4.08321847732525,0.0404982649605993,1.8427966439469,0.42383415648925
AMACR,4.07002191104339,0.0963368268863291,0,1
TMEM215,-4.0678185992735,0.341812629940349,1.94021730247865,0.647184390015479
FAM90A26,4.057050779099,0.199392664687016,0,1
APOA5,4.0448294219229,0.0394178324031092,1.92184107260954,0.399070323500954
SBK3,4.04108031402764,0.278550233694399,0,1
SERPINI2,4.04108031402764,0.278550233694399,0,1
CCNI2,-4.02928803779145,0.0541773802001124,3.75030396655407,0.0731145457963496
POU6F2,4.02090058447304,0.105069459513684,-1.44536470215085,0.578446439314034
OR11G2,4.00828456672474,0.347858648918913,0,1
SERPINB10,4.00828456672474,0.347858648918913,0,1
MS4A10,3.99341623583259,0.299923273950382,0,1
AGR3,-3.98275894879384,0.335187755565221,3.70374948052705,0.370132488194419
XAF1,3.98092979315508,0.110937950182254,0,1
KCND2,3.97997047857897,0.0128702191718107,-2.85488792397386,0.0795590766125405
KLHL6,-3.97717986689046,0.1059713132805,4.65997853681858,0.0582093130524752
ZBBX,3.95992086363943,0.0095805948732423,-1.9933754934613,0.211385594615315
KRT84,3.95934529985256,0.103526268649956,-0.853304245483104,0.744974879261279
SIM1,3.94979562154841,1.62441791780585e-07,-1.54461813584994,0.0540100388439074
BTNL8,3.92822258178704,0.235791446972833,0,1
SULT1E1,-3.92032195626669,4.61983262277461e-06,-1.65867934543696,0.0086254750504377
SLC6A18,-3.91693264480946,0.360414079563292,3.63792050171207,0.395631032004668
ADGRF4,3.91424905192562,0.0138387342013758,2.8405266060266,0.149681499325011
GASK1A,3.91344950428872,0.359556342600872,0,1
SEPTIN14,3.91344950428872,0.359556342600872,0,1
H3C3,3.90820365295732,0.0525644954869924,-1.82297877010662,0.411232043202171
CD207,3.90226355761288,0.12451979715628,-0.851906081655809,0.754438846960344
SLC25A52,3.89196801740523,0.219292798237068,-2.84548248506231,0.376497531899354
ALLC,3.88201975172102,0.0688435441232616,-1.8823697575015,0.398395060801111
GPR88,3.88047205829651,0.363681965967365,0,1
LCE1E,3.88047205829651,0.363681965967365,0,1
CCER1,3.87952152296304,0.154059353879173,-1.81185352514229,0.528651610561315
CELA1,3.87911509114288,0.230735428962782,-1.91045073853571,0.569242604732653
ZNF208,3.87602494062994,0.17464543668679,-0.958673048555272,0.753620685810895
OR13D1,3.87349534616255,0.364558607926676,0,1
PIGR,3.85375221153268,0.0027900839220637,2.91602666348549,0.0933643397300804
IFNA10,3.84676425585631,0.367929789865054,0,1
WNT6,3.84676425585631,0.367929789865054,0,1
GALNTL5,3.84607455664923,0.241401133008965,-1.91080210936211,0.574172822798014
OR51E1,3.84498385815562,0.368155019535418,0,1
C16orf92,3.84320165074305,0.368380565089713,0,1
