perturbation_id,target_gene,age_UP_enrichment,age_DOWN_enrichment,mimetic_score,is_ARE_gene,is_age_UP,is_age_DOWN
6101_PBK_P1P2_ENSG00000168078,PBK,0.08157331859434423,-0.1746479855590631,0.2562213041534073,False,False,False
1260_CCDC144A_P1P2_ENSG00000170160,CCDC144A,0.14184975682722714,-0.11359284728576477,0.2554426041129919,False,False,False
8648_TADA2A_P1P2_ENSG00000276234,TADA2A,0.08747233871183159,-0.1678127859416749,0.2552851246535065,False,False,False
486_ARID1A_P1P2_ENSG00000117713,ARID1A,0.10834389787359942,-0.14546387523933982,0.25380777311293923,False,False,False
9386_TTC33_P1P2_ENSG00000113638,TTC33,0.04059865499875688,-0.21312836591234807,0.25372702091110494,False,False,False
1438_CDK5_P1P2_ENSG00000164885,CDK5,0.03589341080891156,-0.21743606946130456,0.2533294802702161,False,False,False
10428_ZNF534_P1P2_ENSG00000198633,ZNF534,0.05120702868966142,-0.20182604118058314,0.25303306987024454,False,False,False
2155_DENR_P1P2_ENSG00000139726,DENR,0.14496466957474047,-0.10805626917002811,0.2530209387447686,False,False,False
5930_OGFOD3_P1P2_ENSG00000181396,OGFOD3,0.11410525364142748,-0.13831647505633732,0.2524217286977648,False,False,False
5744_NONO_P1P2_ENSG00000147140,NONO,0.02950948342993807,-0.22239474440239326,0.25190422783233135,False,False,False
3055_FEM1A_P1P2_ENSG00000141965,FEM1A,0.09324807732216124,-0.1584799817993712,0.25172805912153245,False,False,False
5907_NUSAP1_P1P2_ENSG00000137804,NUSAP1,0.024726160952226316,-0.2266791989730594,0.25140535992528573,False,False,False
233_AKAP8_P1P2_ENSG00000105127,AKAP8,0.08650046949707307,-0.16412948352394724,0.2506299530210203,False,False,False
6344_PIGS_P1_ENSG00000087111,PIGS,0.19405742041665036,-0.05633061375642037,0.25038803417307076,False,False,False
10517_ZNF629_P1P2_ENSG00000102870,ZNF629,0.05353704917493855,-0.19673783621759047,0.250274885392529,False,False,False
4304_KCTD20_P1P2_ENSG00000112078,KCTD20,0.1176804173489956,-0.13059781426391234,0.24827823161290796,False,False,False
8292_SOX4_P1_ENSG00000124766,SOX4,0.07822622567501764,-0.16987862372691093,0.24810484940192856,False,False,False
1714_CNOT10_P1P2_ENSG00000182973,CNOT10,0.06803289972487672,-0.17954355613050638,0.2475764558553831,False,False,False
8844_TFDP1_P1P2_ENSG00000198176,TFDP1,0.07039990466230109,-0.17678024899655748,0.24718015365885856,False,False,False
5515_NCR3LG1_P1P2_ENSG00000188211,NCR3LG1,0.1655321343521865,-0.08141958261441402,0.2469517169666005,False,False,False
4384_KIF20A_P1P2_ENSG00000112984,KIF20A,0.1470892208814217,-0.09926483409363035,0.24635405497505206,True,False,False
7023_RAB31_P1P2_ENSG00000168461,RAB31,-0.02475698132901566,-0.27042049098520876,0.2456635096561931,False,False,False
220_AIMP1_P1P2_ENSG00000164022,AIMP1,0.11452030138219121,-0.1293656184145193,0.2438859197967105,False,False,False
5190_MRGBP_P1P2_ENSG00000101189,MRGBP,0.15904958176748696,-0.08377437198697384,0.2428239537544608,False,False,False
