pathway,pathway_size,overlap,pval,odds_ratio,gene_list,fdr
YAUCH_HEDGEHOG_SIGNALING_PARACRINE_UP,149,5,0.050886476951966415,2.566759713570664,"EPHA3, DUSP15, C1QTNF7, SCARA5, THSD4",0.8249281806207307
GERHOLD_ADIPOGENESIS_DN,63,3,0.05268001554283842,3.692030769236702,"CCN2, ATF1, IER3",0.8249281806207307
WP_2Q13_COPY_NUMBER_VARIATION_SYNDROME,63,3,0.05268001554283842,3.692030769236702,"IL1A, IL1RN, CXCL13",0.8249281806207307
RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_DN,250,7,0.05270179764832263,2.1312778355649247,"CREBL2, CD80, BATF3, ACSL3, MAP3K6, ARL6IP5, MARCKS",0.8249281806207307
WOO_LIVER_CANCER_RECURRENCE_UP,105,4,0.05311734158654604,2.926054730353419,"EPHA3, CCND3, CCN2, MARCKS",0.8249281806207307
LANDIS_ERBB2_BREAST_TUMORS_324_DN,151,5,0.05330535878844398,2.5315103575456295,"GPD2, CYP4B1, GJB2, UGT1A10, MARCKS",0.8249281806207307
REACTOME_DIGESTION_AND_ABSORPTION,28,2,0.05388191181315432,5.676113080077363,"ALPI, PNLIP",0.8249281806207307
RORIE_TARGETS_OF_EWSR1_FLI1_FUSION_UP,28,2,0.05388191181315432,5.676113080077363,"CCN2, PHLDA2",0.8249281806207307
SHIN_B_CELL_LYMPHOMA_CLUSTER_3,28,2,0.05388191181315432,5.676113080077363,"CCND3, CXCL13",0.8249281806207307
WP_ANGIOTENSIN_II_RECEPTOR_TYPE_1_PATHWAY,28,2,0.05388191181315432,5.676113080077363,"CCN2, RRAS",0.8249281806207307
KIM_GERMINAL_CENTER_T_HELPER_UP,64,3,0.05474096820653166,3.6314424621466888,"CREBL2, SLC35F5, CXCL13",0.8249281806207307
WP_FERROPTOSIS,64,3,0.05474096820653166,3.6314424621466888,"ACSL3, POR, SLC40A1",0.8249281806207307
WP_CYTOKINECYTOKINE_RECEPTOR_INTERACTION,254,7,0.056428527696719966,2.096616754560584,"TNFRSF1B, CCL8, IL1A, IL1RN, BMP3, CXCL13, CCL3",0.8249281806207307
BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_DN,29,2,0.05737274921839712,5.465791591033538,"TNK2, IER3",0.8249281806207307
HOFFMANN_PRE_BI_TO_LARGE_PRE_BII_LYMPHOCYTE_UP,29,2,0.05737274921839712,5.465791591033538,"SEC62, RRAS",0.8249281806207307
KEGG_THYROID_CANCER,29,2,0.05737274921839712,5.465791591033538,"NTRK1, RXRB",0.8249281806207307
WAKABAYASHI_ADIPOGENESIS_PPARG_BOUND_36HR,29,2,0.05737274921839712,5.465791591033538,"CALCOCO1, CREB3L4",0.8249281806207307
YANAGIHARA_ESX1_TARGETS,29,2,0.05737274921839712,5.465791591033538,"NEXN, MARCKS",0.8249281806207307
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM,108,4,0.057758051625545113,2.841500806337234,"ACSL3, PRKAB2, GNB2, MARCKS",0.8249281806207307
RUTELLA_RESPONSE_TO_HGF_UP,419,10,0.05796721342445863,1.810717983469479,"TNIP3, CCL8, CREBL2, IL1A, GPD2, CD80, ACSL3, ARL6IP5, MARCKS, CCL3",0.8249281806207307
SESTO_RESPONSE_TO_UV_C0,109,4,0.05935164098745432,2.8143898656077724,"IL1RN, SLC39A6, CLP1, SERPINB4",0.8249281806207307
BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN,30,2,0.06093991605783126,5.2704930648040955,"NSMF, SPG7",0.8249281806207307
BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN,30,2,0.06093991605783126,5.2704930648040955,"CBX1, CCN2",0.8249281806207307
PARK_TRETINOIN_RESPONSE_AND_PML_RARA_FUSION,30,2,0.06093991605783126,5.2704930648040955,"TNFRSF1B, IER3",0.8249281806207307
PID_RAS_PATHWAY,30,2,0.06093991605783126,5.2704930648040955,"RRAS, RIN1",0.8249281806207307
SU_PLACENTA,30,2,0.06093991605783126,5.2704930648040955,"VGLL1, PHLDA2",0.8249281806207307
TIEN_INTESTINE_PROBIOTICS_2HR_UP,30,2,0.06093991605783126,5.2704930648040955,"MMP24OS, UGT1A10",0.8249281806207307
