pathway,pathway_size,overlap,pval,odds_ratio,gene_list,fdr
FOSTER_KDM1A_TARGETS_UP,264,2,0.05827441204248842,5.265448688411092,"SLC5A4, ACOT1",0.21010098978763897
FEKIR_HEPARG_SPHERE_VS_HEPARG_DN,41,1,0.058760027142978566,17.106759674482447,JPH2,0.21010098978763897
KAMMINGA_EZH2_TARGETS,41,1,0.058760027142978566,17.106759674482447,CDCA7,0.21010098978763897
MARIADASON_REGULATED_BY_HISTONE_ACETYLATION_DN,41,1,0.058760027142978566,17.106759674482447,NRAP,0.21010098978763897
CHEN_LVAD_SUPPORT_OF_FAILING_HEART_DN,42,1,0.06014971670597946,16.689234809401775,F5,0.21010098978763897
REACTOME_ASPIRIN_ADME,42,1,0.06014971670597946,16.689234809401775,GLYATL1,0.21010098978763897
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP,270,2,0.060618233223411935,5.147032465039425,"EPCAM, ACOT1",0.21010098978763897
TORCHIA_TARGETS_OF_EWSR1_FLI1_FUSION_UP,271,2,0.06101200365141596,5.1278100049650375,"GDA, XKR6",0.21010098978763897
GOBERT_CORE_OLIGODENDROCYTE_DIFFERENTIATION,43,1,0.06153737829135353,16.29159207518429,OPCML,0.21010098978763897
HARRIS_BRAIN_CANCER_PROGENITORS,43,1,0.06153737829135353,16.29159207518429,OPCML,0.21010098978763897
KIM_LIVER_CANCER_POOR_SURVIVAL_DN,43,1,0.06153737829135353,16.29159207518429,F5,0.21010098978763897
MIKKELSEN_ES_ICP_WITH_H3K27ME3,43,1,0.06153737829135353,16.29159207518429,MYH11,0.21010098978763897
PAPASPYRIDONOS_UNSTABLE_ATEROSCLEROTIC_PLAQUE_DN,43,1,0.06153737829135353,16.29159207518429,MYH11,0.21010098978763897
PID_CXCR3_PATHWAY,43,1,0.06153737829135353,16.29159207518429,ITGAL,0.21010098978763897
REACTOME_SMOOTH_MUSCLE_CONTRACTION,43,1,0.06153737829135353,16.29159207518429,MYH11,0.21010098978763897
PARENT_MTOR_SIGNALING_DN,44,1,0.06292301482376694,15.912444346800452,PAXBP1,0.2123191786743481
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING,44,1,0.06292301482376694,15.912444346800452,TICAM2,0.2123191786743481
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_DN,279,2,0.06419378505430348,4.979026775871292,"EPCAM, LY9",0.21262704668596047
SCHAEFFER_SOX9_TARGETS_IN_PROSTATE_DEVELOPMENT_DN,45,1,0.06430662922371821,15.550530601462405,CDCA7,0.21262704668596047
SHIPP_DLBCL_VS_FOLLICULAR_LYMPHOMA_DN,45,1,0.06430662922371821,15.550530601462405,LY9,0.21262704668596047
FLORIO_HUMAN_NEOCORTEX,46,1,0.06568822440754418,15.204701907267474,GLYATL1,0.21262704668596047
HOLLERN_MICROACINAR_BREAST_TUMOR_UP,46,1,0.06568822440754418,15.204701907267474,CLDN2,0.21262704668596047
KLEIN_TARGETS_OF_BCR_ABL1_FUSION,46,1,0.06568822440754418,15.204701907267474,ITGAL,0.21262704668596047
ZHAN_MULTIPLE_MYELOMA_CD1_UP,46,1,0.06568822440754418,15.204701907267474,ITGAL,0.21262704668596047
