logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,gene_symbol
-0.00316520138262318,4.384641048225814,-0.8376277153006125,0.40427079801695187,1,-12.167240585209228,ENSG00000005436,GCFC2
0.01692927953997312,4.086839816803701,2.6790466981912275,0.008655535240897403,0.36859508447744993,-9.021400875030132,ENSG00000005448,WDR54
0.008265095761504018,4.642125289302605,1.8831536336712449,0.06263452771459889,0.6435616872749822,-10.760734133332447,ENSG00000005469,CROT
-0.0176757201960577,1.3326236541288152,-2.392106868489992,0.018652281913973518,0.4550064184721691,-9.71113506853773,ENSG00000005471,ABCB4
-0.010540988512305595,6.703344198737292,-2.0575583266417397,0.04227863579220382,0.5749776123062904,-10.426807070837839,ENSG00000005483,KMT2E
0.0027219965624512353,8.072500533907442,0.617505328396975,0.5383286311238955,1,-12.328136989384985,ENSG00000005486,RHBDD2
0.02016871127606388,4.742708047378248,1.6480846162321363,0.10252654880064235,0.7369100619322082,-11.167062145930698,ENSG00000005513,SOX8
-0.0021810369232097564,5.996501254461874,-0.6302987237397488,0.5299609747085885,1,-12.320105796324103,ENSG00000005700,IBTK
0.004494860619493015,3.8840526204812615,1.3551031953864998,0.17848903020669019,0.857773492006013,-11.601424107196403,ENSG00000005801,ZNF195
-0.008295712930239856,6.691597414756445,-1.5011091937648848,0.1365311256970759,0.7916496957126722,-11.395081812281992,ENSG00000005810,MYCBP2
-0.0053063991277849986,6.176005912603207,-1.2613285629279978,0.21017415946433232,0.8969523106248561,-11.723226694598956,ENSG00000005812,FBXL3
-0.0195380758562185,3.918749997329212,-2.2574931134047747,0.02618841775975025,0.5047395478442841,-10.010786991459176,ENSG00000005844,ITGAL
0.004351248374377207,5.45360177267795,0.7808369306476346,0.43677387865077966,1,-12.213357360227814,ENSG00000005882,PDK2
0.006988885763633811,6.061963613521282,1.391854199770444,0.16710634639158134,0.8408564793803035,-11.551393957762741,ENSG00000005884,ITGA3
