gene_symbol,levene_pval_mac,var_ratio_mac,levene_pval_nonmac,var_ratio_nonmac,meta_pval,avg_var_ratio,meta_fdr
ALPI,0.01515561736216225,249.71384786882584,0.00268743358962881,1081.6022537419449,4.524481845550438e-4,665.6580508053853,0.14704862488023146
RNU6-862P,0.8472466647146508,0.9807895381276952,4.814085673076145e-5,Inf,4.530290333367603e-4,Inf,0.14704862488023146
SPICE1,0.00436052365582505,3.6896138805533054,0.00937312704556011,3.573561698185734,4.538836250283563e-4,3.6315877893695196,0.14704862488023146
GPBP1,0.0412995173650121,2.210359257249797,9.934068014852144e-4,3.514069747626824,4.554544585049672e-4,2.8622145024383103,0.14704862488023146
ENSG00000224739,0.6939344019070701,0.8756042657812854,6.048148656472283e-5,5.417927543095522,4.6496883004895065e-4,3.1467659044384035,0.14903261804873325
ENSG00000254406,0.00249373010875234,5.587704164531751,0.01726923296345126,4.660598109983828,4.7598688182010713e-4,5.1241511372577895,0.15146655940048187
CSN1S1,5.019462716249859e-5,4.332392341197263,0.8748654420498243,0.8593924908040567,4.84510774614563e-4,2.59589241600066,0.15307771844822393
HAMP,0.00126034854936249,3.809789984600477,0.03540228320339977,2.556940267275826,4.915853410307593e-4,3.1833651259381517,0.15320078164682036
TAFA1,0.00444818242634152,2.9917548547137085,0.0100817814980092,0.23812026516891677,4.938525646387146e-4,1.6149375599413127,0.15320078164682036
NRXN1-DT,0.526654008742764,0.8609940855931572,8.542476301745953e-5,21.318892785714752,4.952910059571195e-4,11.089943435653954,0.15320078164682036
ENSG00000222043,0.01475926232612395,3.102014116462368,0.00314804446253406,4.2637449893227775,5.100157242026389e-4,3.6828795528925724,0.1566598299509106
ENSG00000231604,0.1538883262506395,3.674530153457653,3.083890161214711e-4,6.615945708775663,5.199286896249601e-4,5.145237931116658,0.15860335034131887
GJB2,0.07191375368039145,1.9904707707622304,6.703396119092066e-4,3.817630356378008,5.273812836942819e-4,2.9040505635701193,0.1597748557559279
ENSG00000233942,0.00107849489221031,0.10862744332979311,0.04641350056436258,0.13807641550008276,5.457361038429274e-4,0.12335192941493794,0.16421087989918617
NACAP10,7.804170132582343e-5,Inf,0.660141932457394,0,5.601909776714078e-4,Inf,0.16742140084028181
IGKV2D-29,0.00552909886219078,9.506045561064376,0.00941638236142137,29.22746473665323,5.655742244328759e-4,19.3667551488588,0.1678958328531206
MAST3,0.00859306347675163,2.589141544420752,0.00612827945416518,2.9451434049266076,5.714549614295359e-4,2.7671424746736797,0.16851063902634156
RPS23P5,9.286233825618944e-5,29.66536195572746,0.5773082647932392,0,5.808005956986909e-4,14.83268097786373,0.1695581353377525
LINC00364,0.00912601692819699,4.917324050669445,0.00592134491688377,28.60618783624752,5.850087145475739e-4,16.761755943458482,0.1695581353377525
FOCAD,0.01875364498840763,2.5636350843185376,0.00291087065362713,3.4486678914105915,5.904213234148477e-4,3.0061514878645648,0.1695581353377525
PCOLCE-AS1,0.4388856203992726,1.3788353382754348,1.2514488906339958e-4,5.007394238379257,5.937071485886603e-4,3.193114788327346,0.1695581353377525
AGPAT1,1.163219834706422e-4,3.423873738893815,0.4759328105232664,1.354884554961488,5.979937215950935e-4,2.3893791469276513,0.1695581353377525
ENSG00000273027,0.00441933301485297,2.354349150958715,0.01260740593330531,3.1411074282148093,6.014709562075454e-4,2.747728289586762,0.1695581353377525
BCL2L14,0.00204907522246903,6.70275085591783,0.02729079362784866,4.987372576389981,6.034743316387699e-4,5.845061716153905,0.1695581353377525
ENSG00000269044,0.2012601220739794,1.5216360129685471,2.789703876348147e-4,4.693591851623248,6.056742942522358e-4,3.1076139322958976,0.1695581353377525
ENSG00000273734,2.7355979826814726e-4,8.766216723971466,0.20919487212375,4.9228517988719425,6.162510754754433e-4,6.844534261421704,0.17014945108369792
WDR45P1,4.935490690140117e-4,5.310124293205308,0.11629740416941713,0.2697750565756655,6.179228760950708e-4,2.7899496748904866,0.17014945108369792
ZSCAN26,0.01230806678706009,3.014135430398565,0.00467516593024358,3.3358382919545,6.193267685041455e-4,3.1749868611765324,0.17014945108369792
SNX25P1,0.6269124830214259,0.998654858896582,9.461679365769312e-5,4.289777503819421,6.366211389148158e-4,2.6442161813580016,0.17205695834427184
ATOSB,0.00684818021675753,2.8909708735139907,0.00867423105442462,3.828425967480476,6.374605000158631e-4,3.3596984204972333,0.17205695834427184
