ensembl_gene_id,gene_name,RPE1_baseline,K562_Ess_baseline,K562_GWPS_baseline
ENSG00000105612,DNASE2,0.26602542,,0.12711781
ENSG00000105613,MAST1,,0.13636602,0.10748101
ENSG00000105617,LENG1,0.18287751,0.18051638,0.12831888
ENSG00000105618,PRPF31,1.0273138,1.2718455,0.9934566
ENSG00000105619,TFPT,0.17595415,0.2858493,0.22361907
ENSG00000105640,RPL18A,48.116894,54.22697,49.51685
ENSG00000105647,PIK3R2,0.46866733,0.3763047,0.29674488
ENSG00000105655,ISYNA1,,0.7423984,0.7234326
ENSG00000105656,ELL,0.08916923,0.19122332,0.15795998
ENSG00000105669,COPE,2.8966143,3.0725238,2.5936716
ENSG00000105671,DDX49,0.54041636,1.0413142,0.76645154
ENSG00000105676,ARMC6,0.23741052,0.47244725,0.35210165
ENSG00000105677,TMEM147,1.6809788,2.1374435,1.4174132
ENSG00000105698,USF2,0.6276405,0.70190763,0.5832817
ENSG00000105699,LSR,0.18830648,0.24382153,0.22281486
ENSG00000105700,KXD1,1.2097551,1.1145953,0.8703682
ENSG00000105701,FKBP8,1.5445815,2.0558534,1.958677
ENSG00000105705,SUGP1,0.17578028,0.1836031,0.17443734
ENSG00000105722,ERF,0.2765736,0.27372295,0.19415498
ENSG00000105723,GSK3A,0.42415425,0.67430866,0.5202453
ENSG00000105726,ATP13A1,0.21946058,0.34255418,0.25660008
ENSG00000105732,ZNF574,0.11866028,0.1886124,0.134424
ENSG00000105755,ETHE1,1.5578662,0.3006491,0.29169324
ENSG00000105771,SMG9,0.22813119,0.37074965,0.23919855
ENSG00000105778,AVL9,0.23935568,0.29201242,0.23539804
ENSG00000105793,GTPBP10,0.19038644,0.4606303,0.34725058
ENSG00000105810,CDK6,0.81134033,1.682921,1.243918
ENSG00000105819,PMPCB,0.76046807,0.86155903,0.8006129
ENSG00000105821,DNAJC2,0.75992304,1.9974678,1.4218122
ENSG00000105829,BET1,0.33941042,0.39420742,0.32346144
ENSG00000105835,NAMPT,0.71439725,1.011752,0.7818498
ENSG00000105849,TWISTNB,0.7010589,0.94992965,0.7139017
ENSG00000105851,PIK3CG,,0.20360292,0.23726676
ENSG00000105856,HBP1,0.18514872,0.20181516,0.22989778
ENSG00000105865,DUS4L,0.15284875,0.285439,0.22936884
ENSG00000105879,CBLL1,0.19580507,0.40975007,0.30749962
ENSG00000105887,MTPN,3.411561,3.4396095,2.4934878
ENSG00000105926,MPP6,0.34587398,0.6813927,0.49445754
ENSG00000105939,ZC3HAV1,0.41045526,1.5681593,1.1081018
ENSG00000105953,OGDH,0.23347633,0.27349922,0.19501565
