perturbation,spearman_rho,pvalue,target_gene
1532_CFDP1_P1_ENSG00000153774,0.17131841274209927,5.440496651164845e-20,CFDP1
6263_PGPEP1_P1P2_ENSG00000130517,0.17125985526876247,5.602890882533483e-20,PGPEP1
6869_PSMD1_P1P2_ENSG00000173692,0.17111948456612266,6.011930051518437e-20,PSMD1
4357_ICE1_P1P2_ENSG00000164151,0.17107698085130638,6.141505983733551e-20,ICE1
10699_ZNHIT1_P1P2_ENSG00000106400,0.17101419149243868,6.337988237381039e-20,ZNHIT1
6555_POLR3A_P1P2_ENSG00000148606,0.17096056557637385,6.510703344283206e-20,POLR3A
9857_WEE1_P1P2_ENSG00000166483,0.1708918596384973,6.738796650862612e-20,WEE1
6874_PSMD6_P1P2_ENSG00000163636,0.1708875170522148,6.753475729918977e-20,PSMD6
1717_CNOT2_P1P2_ENSG00000111596,0.1708521863162005,6.874082735682905e-20,CNOT2
6801_PRPF4_P1P2_ENSG00000136875,0.17012492375620072,9.887568449378613e-20,PRPF4
3286_GART_P1P2_ENSG00000159131,0.1696802490470277,1.2338886903343621e-19,GART
7478_RPL7L1_P1P2_ENSG00000146223,0.16859932875363245,2.1086281012760278e-19,RPL7L1
9489_UBAP1_P1P2_ENSG00000165006,0.16855690833307108,2.1532863266527173e-19,UBAP1
7479_RPL7_P1P2_ENSG00000147604,0.1684806876412563,2.2358870453009903e-19,RPL7
7422_RPAP1_P1P2_ENSG00000103932,0.1682183537289258,2.544823463569094e-19,RPAP1
9841_WDR75_P1P2_ENSG00000115368,0.16782070910559463,3.0951695548154655e-19,WDR75
13_AARS_P1P2_ENSG00000090861,0.16754910104970966,3.5370541506560695e-19,AARS
1192_CARF_P1P2_ENSG00000138380,0.1674434495420385,3.7252892934869547e-19,CARF
8190_SMU1_P1P2_ENSG00000122692,0.16726440773507203,4.0671201043340138e-19,SMU1
2827_FAM102B_P1P2_ENSG00000162636,0.16700651098830707,4.614578819394575e-19,FAM102B
3502_GPN1_P1P2_ENSG00000198522,0.16698092621749758,4.672703577163317e-19,GPN1
857_BMP2K_P1P2_ENSG00000138756,0.16674944772147327,5.23254368617775e-19,BMP2K
786_BCAS2_P1P2_ENSG00000116752,0.16666003429444798,5.466094684343727e-19,BCAS2
7099_RAN_P1P2_ENSG00000132341,0.16646960804367567,5.998337541077507e-19,RAN
9812_WDR26_P1P2_ENSG00000162923,0.166146183437895,7.021978823857303e-19,WDR26
2446_E4F1_P1P2_ENSG00000167967,0.16613707265855657,7.05318280511012e-19,E4F1
3946_HSCB_P1P2_ENSG00000100209,0.16584120340444145,8.144414092876707e-19,HSCB
4960_MEF2A_P1P2_ENSG00000068305,0.16582182110001892,8.221452152983175e-19,MEF2A
5853_NUBP2_P1P2_ENSG00000095906,0.16565214747850768,8.927298085526096e-19,NUBP2
7051_RABGGTB_P1P2_ENSG00000137955,0.16545538172886456,9.82100471414022e-19,RABGGTB
9766_VPS72_P1P2_ENSG00000163159,0.16475541765179585,1.3776722446664612e-18,VPS72
6524_POLE_P1P2_ENSG00000177084,0.16473348009458613,1.3923304831046552e-18,POLE
5601_NELFE_P1P2_ENSG00000204356,0.16458573220787423,1.495142105603704e-18,NELFE
3599_GUCD1_P1P2_ENSG00000138867,0.1637155066130694,2.2716285038653648e-18,GUCD1
7403_RNMT_P1P2_ENSG00000101654,0.16341376029949767,2.624783815249467e-18,RNMT
9683_UTP18_P1P2_ENSG00000011260,0.1633936006496393,2.650220624863634e-18,UTP18
