perturbation,spearman_rho,pvalue,target_gene
2640_ENO1_P1P2_ENSG00000074800,0.04827949159698583,0.0034345536960564897,ENO1
11096_non-targeting_non-targeting_non-targeting,0.048263623962434915,0.003445197271434687,non-targeting
10266_ZNF284_ENST00000421176.3_ENSG00000186026,0.04802565242209078,0.003608463137459123,ZNF284
4405_KLC2_P1P2_ENSG00000174996,0.047126404562286596,0.0042908864636851,KLC2
10974_non-targeting_non-targeting_non-targeting,0.04705706481477905,0.004348081025356478,non-targeting
8418_SRP9_P1P2_ENSG00000143742,0.04663520656914904,0.004711185751875768,SRP9
11026_non-targeting_non-targeting_non-targeting,0.04662811081539043,0.004717521235584856,non-targeting
1701_CMTR1_P1P2_ENSG00000137200,0.046258717561498394,0.005058176238523596,CMTR1
204_AHCY_P1P2_ENSG00000101444,0.04593531826887322,0.0053744982410767715,AHCY
9409_TUBA1C_P1P2_ENSG00000167553,0.04525569651638004,0.0060981137454389645,TUBA1C
