ensembl_gene_id,H2O2_vs_CTRL.log2FoldChange,H2O2_vs_CTRL.pvalue,PRG4_vs_CTRL.log2FoldChange,PRG4_vs_CTRL.pvalue,H2O2PRG4_vs_H2O2.log2FoldChange,H2O2PRG4_vs_H2O2.pvalue,hgnc_symbol
ENSG00000249240,0.797757857494664,0.150806092634806,-0.496947428266625,0.398104908477254,0.99405836621545,0.0538299924513714,
ENSG00000249319,-0.881819054616852,0.135425939736482,0.225375672896294,0.689395175939867,0.76006046056566,0.196258969384446,
ENSG00000249590,3.98551088211134,0.0050345921798321,-0.730296282593621,0.673192774054147,-1.19112195186312,0.314881928981935,
ENSG00000249624,1.49471451383361,0.0388875223052379,0.381557124955958,0.605553389651076,-0.830396032157377,0.235965278899886,
ENSG00000249773,0.289802849420026,0.464661647262346,0.407445800495189,0.300418877944209,0.480422933182399,0.213891888505642,
ENSG00000249852,,,,,,,
ENSG00000249967,0.117109901916314,0.856365650145952,-0.509076622374107,0.437351958183876,0.189199899133951,0.76698642956682,
ENSG00000250264,3.43902634843931,0.19829347492063,3.0563426275411,0.254666608361221,-1.22763897208424,0.628318753780506,
ENSG00000250349,0.356657839587081,0.297957856334571,0.556247086396187,0.102384683653844,0.591214470880422,0.0783989310565696,
ENSG00000250424,1.86188246970195,0.0375333886308827,1.56195279148046,0.0818650575979642,-0.467200374130209,0.56872850765689,
ENSG00000250644,5.01295069919319,2.3840002812280897e-12,0.452710508382736,0.541932160039449,-0.0976845247560991,0.88407843586971,
ENSG00000250803,1.75624824017318,0.0059715375104307,-1.50037261146352,0.0414002541896037,-0.454320991525623,0.453825674904447,
ENSG00000251012,0.0,1.0,0.0,1.0,2.60654325863875,0.545032137439745,
ENSG00000251184,0.580326807196788,0.639400245426454,-2.02269387686238,0.133364231835648,-1.00115655072331,0.420432554325826,
ENSG00000251246,1.47286415671494,0.144487071172726,-0.241611404514995,0.815196728464296,1.21321816477336,0.214484141295237,
ENSG00000251357,0.497313726625233,0.046324171663805,-0.361465415682336,0.154621116982911,0.310195811042664,0.2038358240288,
ENSG00000251537,-0.352191803435172,0.522800079760044,-0.519479503619564,0.34565420256026,0.926828957973814,0.0858867766651002,
ENSG00000251569,2.42521020422711,0.269739135978019,3.99576189906325,0.0549392183166969,2.77613636557046,0.13927989337828,
ENSG00000254536,-0.249959460064462,0.752260651830547,-0.0328397229370133,0.966580377968629,0.0131513505410952,0.986736072819333,
ENSG00000254553,2.40699965835378,0.0540100496762552,0.980465034414728,0.443654079550707,-0.243164491638223,0.832184442789183,
ENSG00000254673,2.61124005095608,0.15671678349292,2.04051089485052,0.272231469563301,0.0095817775935274,0.995145293593887,
ENSG00000254692,0.0751388642676816,0.771458920776146,0.320260974839844,0.213299770271043,0.424288633756532,0.0979157858214987,
ENSG00000254706,-1.08041927987919,0.44007031017211,1.2236708390193,0.349415868949312,1.36949394690376,0.32196342867064,
ENSG00000254732,,,,,,,
ENSG00000254979,3.90437034284623,0.000123205014587,-3.38516132981491,0.0286877341762332,0.707397058523389,0.376451638479488,
ENSG00000255054,1.05736760258295,0.292570713714518,0.23556475872732,0.818363697891432,-0.36561808950862,0.704819665790172,
ENSG00000255292,0.0695171594854822,0.906603074582579,0.125680653529296,0.830295202973369,1.48920233119822,0.0079756241497163,
ENSG00000255330,1.11615500452859,0.589410686407445,-2.38652682622839,0.307579473746468,-1.75253685901249,0.403187448373618,
ENSG00000255339,-1.2533063292844,0.191492268362753,0.199501871483147,0.83030308468373,0.600560150006034,0.533580292942515,
ENSG00000255432,0.3954481865639,0.518073740669623,-0.184911984500691,0.765723751281277,-0.0591109622949127,0.921420526581407,
ENSG00000255439,-2.17841727117009,1.54040286449446e-07,-1.71763347941492,2.13100603091017e-05,-0.189035589903444,0.664873252258813,
ENSG00000255508,0.684137278648835,0.0077632222528545,-0.115983341317334,0.658105664271679,-0.369236914401259,0.14244690283152,
