target_gene,prg4_mimetic_score
SEC61A1,-0.06764065906126696
KDM5C,-0.06780881676049591
NMT1,-0.06929551369467248
RBBP6,-0.06959838668669835
OR1D2,-0.07072246322497563
ATP5PO,-0.0707865777352199
MIER1,-0.0709542084495882
GTF2A2,-0.07108561423783664
WEE1,-0.07114603820310066
NBEAL1,-0.07117503689884595
PSMD3,-0.07213564709184264
YARS,-0.07251319146126042
EIF3J,-0.07282172359710094
CWC22,-0.07297835597893385
IK,-0.073171032672401
DCAF6,-0.0732894645952684
DHODH,-0.07331516996582525
EWSR1,-0.07341154545904802
MOCS3,-0.07351358769047905
ZNF143,-0.07354666853774897
SMU1,-0.07392320615476056
CS,-0.07399789668323127
HIST2H2AA3,-0.07416378530980167
MRPS18B,-0.07420906506413948
TAF8,-0.0744040421984119
MRPL42,-0.07521405887305799
PRPF18,-0.07571228607749593
YPEL1,-0.07618861567416751
MRPL37,-0.07631881791616449
FTSJ3,-0.07675044691353936
TAF3,-0.0770143408561853
ATXN10,-0.0775113972032821
EIF4H,-0.07766906143203836
SLC4A5,-0.07783057436727145
SRRT,-0.07813075564213899
OXA1L,-0.07890034537980226
MRPL32,-0.07967266645754571
CNOT11,-0.07984941770814413
GAB2,-0.07993202324544753
MRPS2,-0.08007946806227409
SF3B2,-0.08010785161215775
CRCP,-0.08056666655660312
POLR3D,-0.08065293127074005
SOD2,-0.0807954453451322
LIMS1,-0.08198535074540622
DDX1,-0.08262099618629373
SF3B1,-0.08275457099932308
CDIPT,-0.08297570718660739
RPL41,-0.08307579072493432
SCAF1,-0.08328858232487506
NAPA,-0.0837977375311619
WDR70,-0.08386554225619536
MRPS7,-0.0841327935810866
MEN1,-0.08419829819550609
SNW1,-0.08430599263674043
SKP1,-0.0850547463307523
TEAD3,-0.08515674992983446
NDUFB6,-0.08519034455432463
SUDS3,-0.08550385498010582
MRPS23,-0.08592744448663538
MBD3,-0.08632742269402849
HIST2H3D,-0.0869743851017814
MRPL20,-0.08714223638374805
ENY2,-0.08736121708408308
PSMB6,-0.08793503293655375
CHCHD3,-0.08830250383847058
SLC35G2,-0.08846635254494738
NDUFS5,-0.08895320764062012
UBA2,-0.08906951907678594
LSM7,-0.08917756880355301
ATP6V1A,-0.08984537022667605
GCLC,-0.0900596608938271
TRIM49C,-0.09025793795710821
SNRNP200,-0.09052707071040599
SLU7,-0.09086969737993432
N6AMT1,-0.09088317973947933
SEC13,-0.09109284509088507
ZC3H3,-0.09135520265473586
SMG7,-0.09135540043915388
CENPT,-0.09238984662627325
CMPK1,-0.0926901685625135
ATP5MF,-0.09295707714913068
PPY,-0.09312930808472697
MT2A,-0.09315220286935988
OR2A1,-0.09320948440672926
NCBP1,-0.09333540935431145
TAF2,-0.09346763236532342
BRK1,-0.09346883888329383
MED26,-0.09383516402238706
NUP35,-0.09420574268214155
TTC27,-0.0942583057898995
YEATS4,-0.09457765531359888
SRP19,-0.09498184477720371
NKAPD1,-0.0950049284310974
OR4F4,-0.09521025044988513
MIPEP,-0.0955442868699542
HSD17B12,-0.09576917072526453
SART1,-0.09680495484637858
BUD13,-0.09759706526225428
UQCRH,-0.09769862871671274
TULP1,-0.09798262138647199
UMPS,-0.09817748031236073
TSFM,-0.09843330504696954
ATF4,-0.09845176536626449
FAM50A,-0.09876280662363174
ZBTB4,-0.09878553631275676
GTF3C2,-0.09941027785573948
ATP5F1B,-0.09972161331330176
ZBTB44,-0.10002769444123427
UPF2,-0.100314417790692
DNAJA3,-0.10044371795083445
COX15,-0.10065039969622427
XRCC5,-0.10068904063000457
SPRTN,-0.10122404120783883
WDR7,-0.10177642502187519
NOS1AP,-0.10222254610292064
UBQLN4,-0.10254640801703789
TAMM41,-0.10277838899803526
ARGLU1,-0.10323071634940809
PRPF6,-0.10380725495699256
YPEL5,-0.10393952023245438
TPI1,-0.10416929355632226
DNAJC11,-0.10428557329415053
GNB1L,-0.10436650608376949
MOK,-0.10508375130012709
KRTAP4-7,-0.1053341671757111
PSMB7,-0.10535633157781765
SMAGP,-0.10578015551996826
UBE2Z,-0.10631584553664299
WDR83OS,-0.10636214690198269
AFG3L2,-0.10644499380891856
RAB6A,-0.10707529973089425
EEFSEC,-0.10717030559178488
TMEM258,-0.1072509583794225
GART,-0.10729627115286193
SDHAF2,-0.10803895527562687
CCNA2,-0.10807504779514951
OVCA2,-0.10834784897062948
CCNL1,-0.10878661735814157
MRPS10,-0.10885152630796915
ETF1,-0.10926722887190242
TMEM199,-0.1095123507949349
FIP1L1,-0.1095799204239653
TFIP11,-0.10965807927886281
GFM1,-0.11014008023641675
EIF1AX,-0.1109132581598456
HTATSF1,-0.11180776477192036
PELO,-0.11220333757078457
ZNF706,-0.11248800845288996
RPL11,-0.11270580839015375
GMPPB,-0.11299305674332594
NUS1,-0.1134528497135593
SNRPF,-0.11383754403922672
HAMP,-0.11436333492925665
SRSF3,-0.11463437915834303
RAD9A,-0.11472753892126608
KARS,-0.11576068547654805
PLRG1,-0.11582021429396908
RSRC2,-0.11582823529411773
PSMA7,-0.11586050816397286
SNRPA1,-0.1160099869574549
INTS12,-0.11656464710835218
PRORP,-0.11684915751762392
RPIA,-0.11724947945386417
SAE1,-0.11732037938947677
ELAC2,-0.11750041075762337
RPL5,-0.11824488748741152
WTAP,-0.11894234468640102
HECTD1,-0.11925989863135827
ZNF335,-0.1192745307160192
SUPT5H,-0.11943792904195061
CDC40,-0.11950620329860831
PRPF38B,-0.12000838288950161
PFDN4,-0.12003629393604205
CARS,-0.1207425850654603
USP39,-0.12079587987650862
DDX23,-0.12085176338511831
MED7,-0.12094892935563216
UBA3,-0.12113289527991936
C9orf16,-0.12131099304947908
CWC15,-0.12138316025820947
GNPNAT1,-0.12146596622145911
SON,-0.12174602895775213
C14orf178,-0.12214477885456726
CDC5L,-0.12237081639728588
DCUN1D5,-0.1225023096861534
ISCU,-0.12288168793647117
RPS3,-0.12290082778887591
GTF2F1,-0.12307478430271918
PXN,-0.12311950669462303
ICE1,-0.12339344504796025
CPOX,-0.12479536147661419
SF3A2,-0.12495494015287839
RNF113A,-0.12539020785524418
TOP2A,-0.12564822769972422
ZBTB17,-0.12590923346155738
COPB2,-0.1264024843572007
KIN,-0.12710930709415386
FGFR1OP,-0.1272558082250583
MRPL2,-0.12748729061762215
AARS,-0.12750735038219616
ABCG1,-0.1276413617077481
THG1L,-0.12874084958148285
MZT1,-0.12912948044443714
MRPS24,-0.1295659837215829
UQCRC2,-0.12986937841541335
LDB1,-0.13017105149328886
SAMD4B,-0.13052012283105766
MKRN1,-0.13088150302950266
TGS1,-0.13124939129286298
FUNDC2,-0.13125149460963167
NKAP,-0.13125302537517938
SLC35B1,-0.1313806059005134
SPTSSA,-0.1317849947994915
NUDT15,-0.13237928282511421
SNUPN,-0.13242491093097364
