"gene","agilent_id","gene_symbol","P.Value_mac","logFC_mac","adj.P.Val_mac","P.Value_extra","logFC_extra","adj.P.Val_extra","meta_p","meta_logFC","meta_fdr"
47,47,"SMG7",0.00328126100451194,-0.356125199533499,0.909984184349076,0.362236968467822,0.127919241420479,0.949199064392319,0.00919375605284881,-0.11410297905651,0.68410888959492
48,48,"",0.644028352407025,-0.0627039643535353,0.971718722086917,0.543626639923881,-0.0865528415303224,0.966764512002175,0.717554223942496,-0.0746284029419289,0.977919265444833
49,49,"C9orf30",0.278225950895844,-0.150911571768443,0.944040435468582,0.675644866290226,0.0642141207119995,0.978745698968281,0.502176710947936,-0.0433487255282217,0.96058062972819
50,50,"CXorf57",0.193880589944888,0.154591518690634,0.932337304308334,0.776862799607906,-0.0378393263011771,0.987494652598146,0.43574031622602,0.0583760961947285,0.956294454355297
51,51,"",0.821321426581653,0.0491750651458998,0.988062855061809,0.729129554687901,-0.073423161606051,0.984638657824143,0.905906681521991,-0.0121240482300756,0.993561678719599
52,52,"VASH1",0.388994780801634,-0.131073186341207,0.955996379518314,0.91538797916384,-0.023783138675995,0.996653918236432,0.723769339780841,-0.077428162508601,0.978152581707134
53,53,"SRF",0.492333877578128,-0.109232364209782,0.963769568130646,0.337985098682611,0.133204954482466,0.945205383683356,0.46481794439545,0.011986295136342,0.958963764775308
54,54,"",0.6895441657891,-0.0700260831133779,0.977832690892183,0.775163464168767,-0.0582164232747156,0.987494652598146,0.869329302699795,-0.0641212531940467,0.988960586205545
55,55,"",0.0821277270882278,-0.267228564167936,0.932337304308334,0.109725501849055,-0.255490473779843,0.881743436768244,0.0514489686612066,-0.26135951897389,0.838064249149572
56,56,"BBX",0.259065246332107,-0.165015547045344,0.942780878045783,0.300826141813449,-0.154619133103055,0.938698273673046,0.276812201777711,-0.1598173400742,0.932353880758869
57,57,"SLC7A1",0.0623135766982365,-0.311500221856266,0.932337304308334,0.34545375348542,0.173053443306801,0.945954220831098,0.104155178662758,-0.0692233892747325,0.874659941537275
58,58,"",0.399280213839952,-0.237405858438321,0.957199009840491,0.386238363359264,-0.260921924081719,0.953307730198106,0.442510052263356,-0.24916389126002,0.957456707052188
59,59,"",0.0733267921567583,-0.262493255210001,0.932337304308334,0.880674863696274,0.0246575197694548,0.994045871251698,0.241511498308885,-0.118917867720273,0.924035585714103
60,60,"C3orf75",0.183563865513828,-0.189844481827755,0.932337304308334,0.686019245788332,-0.0771671549776675,0.979959204143321,0.386857192189638,-0.133505818402711,0.946730411268683
61,61,"YWHAZ",0.0874302634448324,-0.222826106343537,0.932337304308334,0.638111517458345,0.0643899843739859,0.974552011140937,0.216809646800785,-0.0792180609847755,0.916822448171564
62,62,"MAB21L2",0.126578738789286,-0.231628825228644,0.932337304308334,0.284178776309203,0.211566531135266,0.935791698837804,0.155576064114864,-0.010031147046689,0.906902537281543
63,63,"",0.591106257653369,0.0734837438310913,0.96916851922475,0.30054437518436,0.195015725323801,0.938698273673046,0.484624859007643,0.134249734577446,0.960485928207323
64,64,"EPHA2",0.368730252915208,-0.124646225273627,0.954278751698173,0.511913889733917,-0.135306633110972,0.963988494098904,0.503472463024011,-0.129976429192299,0.96058062972819
65,65,"SYT2",0.889440910382342,-0.0189361467528002,0.991266259052853,0.0767396921180251,0.368896164750888,0.861359041696931,0.251486992460968,0.174980008999044,0.925663586578658
66,66,"TMEM97",0.303530372509221,-0.175813684078656,0.948560706438018,0.995531181316519,0.000897679139837958,0.999376679818649,0.663801360539545,-0.087458002469409,0.974544981868071
67,67,"SLC22A23",0.684573453992606,0.067758662471544,0.977665248677216,0.907930436594719,-0.021890029851054,0.995905042991326,0.917118874123188,0.022934316310245,0.993561678719599
68,68,"",0.718359174907234,-0.0615777822056419,0.979463145036686,0.370249824309972,0.162235055107486,0.950314150747356,0.618216279869019,0.0503286364509221,0.969843169291041
69,69,"SET",0.117611316216245,-0.285630115885095,0.932337304308334,0.154024633127494,0.343121846398467,0.906562721029496,0.0907746956693123,0.028745865256686,0.871368693160168
70,70,"",0.350055019020242,-0.14149611259709,0.952188778292127,0.607718475021219,0.0949728833042515,0.971887247540526,0.541986514325459,-0.0232616146464192,0.964107500884615
71,71,"SP5",0.227458960626251,0.344240263176664,0.938238649140812,0.0235475584378396,0.802885733974551,0.828339663055325,0.0333659442484268,0.573562998575607,0.802678058120417
