"gene","P.Value_mac","logFC_mac","adj.P.Val_mac","P.Value_extra","logFC_extra","adj.P.Val_extra","meta_p","meta_logFC","meta_fdr"
60,0.60314413728837,0.0903359624677459,0.978585279194628,0.142105387677843,-0.316403197663286,0.991236084654385,0.296281185973802,-0.11303361759777,0.974688714097658
61,0.06279830167026,-0.289813142983179,0.933048070137976,0.257609954221199,0.208457823052911,0.991236084654385,0.082895542476282,-0.040677659965134,0.974688714097658
62,0.885279682865949,0.0237260255140606,0.995747725471836,0.862517844426395,-0.0387217764640358,0.99627995874774,0.969543242107234,-0.0074978754749876,0.998929116173154
63,0.205044371434697,0.210184264443296,0.933048070137976,0.255810293123753,0.236229080643687,0.991236084654385,0.207074343824625,0.223206672543491,0.974688714097658
64,0.214261910966815,0.218367028845561,0.934526386480684,0.301746193376928,-0.238818421790077,0.991236084654385,0.241718736272962,-0.010225696472258,0.974688714097658
65,0.252048365956515,0.193231209352864,0.93806672432868,0.610850040495034,0.115146582832697,0.99327312253652,0.442035799843304,0.15418889609278,0.974688714097658
66,0.498990593243783,-0.151663521600936,0.97261375802658,0.752953626337759,-0.0546806069856798,0.995959475906969,0.743513320837073,-0.103172064293308,0.990456630923746
67,0.129170915934054,0.327512772411461,0.933048070137976,0.583277868704024,0.118720396487598,0.99327312253652,0.270156517552328,0.223116584449529,0.974688714097658
68,0.477756213413205,0.125734702318929,0.967763512003837,0.189134362680745,0.24015230043494,0.991236084654385,0.307581527275741,0.182943501376934,0.974688714097658
69,0.413806226233104,-0.171830646130817,0.958859233387435,0.388839432476073,0.277155431654613,0.99309461845979,0.454867464334395,0.052662392761898,0.974688714097658
70,0.518564185016924,-0.12130403255349,0.975416700333257,0.538253090426232,-0.128668715401039,0.99327312253652,0.63530723209964,-0.124986373977265,0.982746043874191
71,0.961546719302716,0.0157163794956936,0.999445814739313,0.0340961536106135,0.883100769076191,0.991236084654385,0.144837207101342,0.449408574285942,0.974688714097658
73,0.587750306145655,-0.150325030011877,0.977972781574839,0.177379236425201,-0.38778623780952,0.991236084654385,0.339966063939618,-0.269055633910698,0.974688714097658
74,0.391049951958538,-0.137232937368804,0.954776251061015,0.55676322385486,0.098777126350974,0.99327312253652,0.549647437059626,-0.019227905508915,0.978731480058221
96,0.53275423112899,0.148636814978297,0.975416700333257,0.175029368357544,0.277268107556496,0.991236084654385,0.314477334094636,0.212952461267397,0.974688714097658
97,0.664502977454926,-0.116052525748835,0.983339824768007,0.745396209184406,0.091919964164172,0.995959475906969,0.843306285582933,-0.0120662807923315,0.994171377467749
99,0.199867279061131,-0.183204107698595,0.933048070137976,0.00477490608025176,0.475854893661736,0.991236084654385,0.00759134057860992,0.14632539298157,0.951779305815148
100,0.692900806327449,0.0811548474868582,0.98538556440599,0.076070054614401,0.385488401291799,0.991236084654385,0.207829962599733,0.233321624389329,0.974688714097658
101,0.24291688461583,-0.221832643933849,0.93806672432868,0.098017691132045,-0.320862384103106,0.991236084654385,0.112804006162656,-0.271347514018478,0.974688714097658
102,0.141266043996786,0.195263707543529,0.933048070137976,0.442468443570669,0.0973274142724597,0.99327312253652,0.235802783330235,0.146295560907994,0.974688714097658
103,0.71107637023979,-0.0724474577134022,0.987822525708881,0.285283375076521,0.161283178809977,0.991236084654385,0.526467457885447,0.0444178605482874,0.97870236634515
104,0.563051347533192,-0.09479584599533,0.97561922896555,0.253045220974822,0.154340954086958,0.991236084654385,0.420104958969488,0.029772554045814,0.974688714097658
106,0.103628320024838,-0.251962331817916,0.933048070137976,0.0111158267889366,0.341847538371495,0.991236084654385,0.00894614776870601,0.0449426032767895,0.951779305815148
107,0.229217261739003,-0.196121274151559,0.93806672432868,0.650415218886278,0.0703676868661359,0.993712648026315,0.43283199240406,-0.0628767936427116,0.974688714097658
108,0.117413619644525,-0.260304704236703,0.933048070137976,0.00366498024153194,0.406130068708973,0.991236084654385,0.0037657114515308,0.072912682236135,0.951779305815148
109,0.950790292807212,0.0166886279007372,0.998575798070999,0.995487853020266,-0.00206300580383592,0.999647105704123,0.998542658133254,0.00731281104845064,0.999793671928389
110,0.604185407290462,-0.0727467933935968,0.978585279194628,0.0128435480775012,0.357565385150403,0.991236084654385,0.0454635160182452,0.142409295878403,0.974688714097658
111,0.51805633950775,-0.137150622946326,0.975416700333257,0.309004832261298,0.207138800727357,0.991236084654385,0.453363124182779,0.0349940888905155,0.974688714097658
112,0.457639500308355,-0.149033753981113,0.965347009274357,0.243197537149323,-0.215412787331525,0.991236084654385,0.355655019007406,-0.182223270656319,0.974688714097658
113,0.0659097798651678,0.647244653043007,0.933048070137976,0.862190646690776,-0.0674649919250845,0.99627995874774,0.219791686232234,0.289889830558961,0.974688714097658
114,0.0190558795676397,0.584729758033329,0.933048070137976,0.140919866101878,0.394021648327766,0.991236084654385,0.0185824839956438,0.489375703180548,0.974688714097658
115,0.523870180572049,0.0992396345255445,0.975416700333257,0.767407997634547,-0.0488860601329954,0.996117415034707,0.768364082128611,0.0251767871962746,0.991523807643928
116,0.844214633056372,0.0277182530091113,0.994540941262659,0.544120156304524,0.0937995204264302,0.99327312253652,0.816701305858103,0.0607588867177707,0.993847760872682
118,0.691232769699483,0.0529249022253257,0.985107009547736,0.929682116850044,-0.0145355940097023,0.996901219803367,0.926790644806774,0.0191946541078117,0.99700985586485
119,0.514429920127729,-0.115579160940881,0.975416700333257,0.847369605654262,0.0301654045535606,0.99627995874774,0.797856455996163,-0.0427068781936602,0.993645966216716
120,0.312446573312871,-0.178492888294339,0.945549860188052,0.498980991321354,-0.149006221758594,0.99327312253652,0.445655572824225,-0.163749555026466,0.974688714097658
121,0.528877043399901,-0.109320903431073,0.975416700333257,0.690855901493098,-0.0690787654925446,0.993712648026315,0.733248742816598,-0.0891998344618088,0.989573109224853
123,0.875384181699313,0.0308412906378468,0.995250240156931,0.509217859293784,-0.133384605500869,0.99327312253652,0.805923769811432,-0.0512716574315111,0.993789443198227
124,0.540086279973677,-0.108510238115856,0.97561922896555,0.446185682746839,-0.162425600962961,0.99327312253652,0.58390274462177,-0.135467919539409,0.979146316396815
125,0.292376650919606,-0.16496503345935,0.941065895684351,0.779138486805035,0.0520953136524129,0.996270076660835,0.564784443202615,-0.0564348599034686,0.979146316396815
