perturbation_id,target_gene
1131_C9orf16_P1P2_ENSG00000171159,C9orf16
11321_non-targeting_non-targeting_non-targeting,non-targeting
11322_non-targeting_non-targeting_non-targeting,non-targeting
11324_non-targeting_non-targeting_non-targeting,non-targeting
11327_non-targeting_non-targeting_non-targeting,non-targeting
1136_C9orf78_P1P2_ENSG00000136819,C9orf78
1139_CA5A_P1P2_ENSG00000174990,CA5A
1145_CABIN1_P1P2_ENSG00000099991,CABIN1
1146_CACNB3_P2_ENSG00000167535,CACNB3
1147_CACNB3_P1_ENSG00000167535,CACNB3
1148_CACTIN_P1P2_ENSG00000105298,CACTIN
1151_CADM4_P1P2_ENSG00000105767,CADM4
1152_CAD_P1P2_ENSG00000084774,CAD
115_ACTR3_P1P2_ENSG00000115091,ACTR3
1161_CALR_P1P2_ENSG00000179218,CALR
1167_CAMLG_P1P2_ENSG00000164615,CAMLG
116_ACTR5_P1P2_ENSG00000101442,ACTR5
1175_CAP1_P1P2_ENSG00000131236,CAP1
117_ACTR6_P1P2_ENSG00000075089,ACTR6
1187_CAPZB_P1P2_ENSG00000077549,CAPZB
118_ACTR8_P1P2_ENSG00000113812,ACTR8
1192_CARF_P1P2_ENSG00000138380,CARF
1197_CARS_P1P2_ENSG00000110619,CARS
1198_CASC3_P1P2_ENSG00000108349,CASC3
1206_CASP8AP2_P1P2_ENSG00000118412,CASP8AP2
1211_CAST_P2_ENSG00000153113,CAST
1219_CBFA2T3_P2_ENSG00000129993,CBFA2T3
1221_CBLL1_P1P2_ENSG00000105879,CBLL1
1222_CBLN1_P1P2_ENSG00000102924,CBLN1
1228_CBX1_P1P2_ENSG00000108468,CBX1
1238_CCAR1_P1P2_ENSG00000060339,CCAR1
1245_CCDC115_P1P2_ENSG00000136710,CCDC115
1254_CCDC130_P2_ENSG00000104957,CCDC130
1255_CCDC130_P1_ENSG00000104957,CCDC130
1257_CCDC137_P1P2_ENSG00000185298,CCDC137
1260_CCDC144A_P1P2_ENSG00000170160,CCDC144A
1261_CCDC144NL_P1_ENSG00000205212,CCDC144NL
1262_CCDC144NL_P2_ENSG00000205212,CCDC144NL
1268_CCDC174_P1P2_ENSG00000154781,CCDC174
126_ADAM10_P1P2_ENSG00000137845,ADAM10
127_ADAM10_P1P2_ENSG00000137845,ADAM10
1284_CCDC59_P1P2_ENSG00000133773,CCDC59
1288_CCDC6_P1P2_ENSG00000108091,CCDC6
1289_CCDC6_P1P2_ENSG00000108091,CCDC6
128_ADAM10_P1P2_ENSG00000137845,ADAM10
1290_CCDC6_P1P2_ENSG00000108091,CCDC6
1296_CCDC78_P1P2_ENSG00000162004,CCDC78
1298_CCDC84_P1P2_ENSG00000186166,CCDC84
1301_CCDC86_P1P2_ENSG00000110104,CCDC86
1315_CCNA2_P1P2_ENSG00000145386,CCNA2
1317_CCNB1_P1P2_ENSG00000134057,CCNB1
1319_CCNC_P1P2_ENSG00000112237,CCNC
1320_CCND1_P1_ENSG00000110092,CCND1
1321_CCND1_P2_ENSG00000110092,CCND1
1323_CCND3_P1P2_ENSG00000112576,CCND3
1329_CCNH_P1P2_ENSG00000134480,CCNH
1332_CCNK_P2_ENSG00000090061,CCNK
1333_CCNK_P1_ENSG00000090061,CCNK
1334_CCNL1_P1P2_ENSG00000163660,CCNL1
1340_CCP110_P1P2_ENSG00000103540,CCP110
1346_CCT2_P1P2_ENSG00000166226,CCT2
1347_CCT3_P1P2_ENSG00000163468,CCT3
1348_CCT4_P1P2_ENSG00000115484,CCT4
1349_CCT5_P1P2_ENSG00000150753,CCT5
1350_CCT6A_P1P2_ENSG00000146731,CCT6A
1351_CCT7_P1P2_ENSG00000135624,CCT7
1352_CCT8_P1P2_ENSG00000156261,CCT8
1361_CD2BP2_P1P2_ENSG00000169217,CD2BP2
1365_CD3EAP_P1P2_ENSG00000117877,CD3EAP
1380_CD8B_P1P2_ENSG00000172116,CD8B
1385_CDAN1_P1P2_ENSG00000140326,CDAN1
1386_CDC123_P1P2_ENSG00000151465,CDC123
1389_CDC16_P1P2_ENSG00000130177,CDC16
1390_CDC20_P1P2_ENSG00000117399,CDC20
1391_CDC23_P1P2_ENSG00000094880,CDC23
1395_CDC26_P1P2_ENSG00000176386,CDC26
1396_CDC27_P1P2_ENSG00000004897,CDC27
1398_CDC37_P1P2_ENSG00000105401,CDC37
1399_CDC40_P1P2_ENSG00000168438,CDC40
139_ADAT2_P1P2_ENSG00000189007,ADAT2
13_AARS_P1P2_ENSG00000090861,AARS
1406_CDC42_P1P2_ENSG00000070831,CDC42
1407_CDC45_P1P2_ENSG00000093009,CDC45
1408_CDC5L_P1P2_ENSG00000096401,CDC5L
1409_CDC6_P1P2_ENSG00000094804,CDC6
140_ADAT3_P2_ENSG00000213638,ADAT3
1410_CDC73_P1P2_ENSG00000134371,CDC73
1411_CDC7_P1P2_ENSG00000097046,CDC7
1415_CDCA5_P1P2_ENSG00000146670,CDCA5
1418_CDCA8_P1P2_ENSG00000134690,CDCA8
1419_CDIPT_P1P2_ENSG00000103502,CDIPT
141_ADAT3_P1_ENSG00000213638,ADAT3
1421_CDK11A_P1P2_ENSG00000008128,CDK11A
1424_CDK12_P1P2_ENSG00000167258,CDK12
1429_CDK1_P1P2_ENSG00000170312,CDK1
1432_CDK2_P1P2_ENSG00000123374,CDK2
1440_CDK6_P1_ENSG00000105810,CDK6
1441_CDK7_P1P2_ENSG00000134058,CDK7
1443_CDK9_P1P2_ENSG00000136807,CDK9
1458_CDT1_P1P2_ENSG00000167513,CDT1
1469_CEBPG_P1P2_ENSG00000153879,CEBPG
1470_CEBPZ_P1P2_ENSG00000115816,CEBPZ
1474_CENPA_P1_ENSG00000115163,CENPA
1475_CENPA_P2_ENSG00000115163,CENPA
1478_CENPC_P1P2_ENSG00000145241,CENPC
1479_CENPE_P1P2_ENSG00000138778,CENPE
1481_CENPH_P1P2_ENSG00000153044,CENPH
1482_CENPI_P1P2_ENSG00000102384,CENPI
1483_CENPJ_P1P2_ENSG00000151849,CENPJ
1484_CENPK_P1P2_ENSG00000123219,CENPK
1487_CENPN_P1P2_ENSG00000166451,CENPN
1489_CENPP_P1P2_ENSG00000188312,CENPP
1491_CENPT_P1P2_ENSG00000102901,CENPT
1493_CENPW_P1P2_ENSG00000203760,CENPW
1497_CEP152_P1P2_ENSG00000103995,CEP152
