perturbation_id,target_gene
10384_ZNF473_P1P2_ENSG00000142528,ZNF473
10385_ZNF474_P1P2_ENSG00000164185,ZNF474
10386_ZNF479_P1P2_ENSG00000185177,ZNF479
10387_ZNF480_P1P2_ENSG00000198464,ZNF480
10388_ZNF483_P1P2_ENSG00000173258,ZNF483
10389_ZNF484_P1P2_ENSG00000127081,ZNF484
1038_C1orf122_P1P2_ENSG00000197982,C1orf122
10390_ZNF485_P1P2_ENSG00000198298,ZNF485
10391_ZNF486_P1P2_ENSG00000256229,ZNF486
10392_ZNF488_P1_ENSG00000265763,ZNF488
10393_ZNF488_P2_ENSG00000265763,ZNF488
10394_ZNF48_P1P2_ENSG00000180035,ZNF48
10395_ZNF490_P1P2_ENSG00000188033,ZNF490
10396_ZNF491_P1P2_ENSG00000177599,ZNF491
10397_ZNF492_P1P2_ENSG00000229676,ZNF492
10398_ZNF493_P1P2_ENSG00000196268,ZNF493
10399_ZNF496_P1P2_ENSG00000162714,ZNF496
1039_CZIB_P1P2_ENSG00000162384,CZIB
103_ACSS2_P1P2_ENSG00000131069,ACSS2
10400_ZNF497_P1P2_ENSG00000174586,ZNF497
10401_ZNF500_P1P2_ENSG00000103199,ZNF500
10402_ZNF501_P1P2_ENSG00000186446,ZNF501
10403_ZNF502_P1P2_ENSG00000196653,ZNF502
10404_ZNF503_P1P2_ENSG00000165655,ZNF503
10405_ZNF506_P1P2_ENSG00000081665,ZNF506
10406_ZNF507_P1P2_ENSG00000168813,ZNF507
10407_ZNF510_P1P2_ENSG00000081386,ZNF510
10408_ZNF511_P1P2_ENSG00000198546,ZNF511
10409_ZNF512B_P1P2_ENSG00000196700,ZNF512B
1040_C1orf131_P1P2_ENSG00000143633,C1orf131
10410_ZNF512_P1P2_ENSG00000243943,ZNF512
10411_ZNF513_P1P2_ENSG00000163795,ZNF513
10412_ZNF514_P2_ENSG00000144026,ZNF514
10413_ZNF514_P1_ENSG00000144026,ZNF514
10414_ZNF516_P1P2_ENSG00000101493,ZNF516
10415_ZNF517_P1P2_ENSG00000197363,ZNF517
10416_ZNF518A_P1P2_ENSG00000177853,ZNF518A
10417_ZNF518B_P1P2_ENSG00000178163,ZNF518B
10418_ZNF519_P1P2_ENSG00000175322,ZNF519
10419_ZNF521_P1P2_ENSG00000198795,ZNF521
1041_C1orf159_P1P2_ENSG00000131591,C1orf159
10420_ZNF524_P1P2_ENSG00000171443,ZNF524
10421_ZNF526_P1P2_ENSG00000167625,ZNF526
10422_ZNF527_P1P2_ENSG00000189164,ZNF527
10423_ZNF528_P1P2_ENSG00000167555,ZNF528
10424_ZNF529_P1P2_ENSG00000186020,ZNF529
10425_ZNF530_P1P2_ENSG00000183647,ZNF530
10426_ZNF532_P2_ENSG00000074657,ZNF532
