pathway,NES_H2O2,Padj_H2O2,NES_Rescue,Padj_Rescue
BENPORATH_OCT4_TARGETS,-1.6112947723233912,8.223709379911073e-4,-0.9567744133786088,0.7440405866301124
BENPORATH_PROLIFERATION,-1.3470560050968319,0.15481182799658325,1.9850885515808032,0.004009827257129785
BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN,-1.6776346818054046,0.10024128860732621,-1.8617849213345394,0.052037521567304554
BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_UP,1.5041424471038032,0.2471348712462519,0.8639971259336576,0.81098150873537
BERENJENO_TRANSFORMED_BY_RHOA_DN,-0.9815060396508569,0.8159475395382156,-1.469460071260598,0.06376793167717544
BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_DN,1.1498648645312053,0.5979473015778638,-1.2921786049172537,0.4036093719034583
BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_UP,1.3778934051598335,0.39885976618801045,1.3433414319773485,0.3412734082397003
BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN,-1.0133532453254215,0.7466838163599776,-1.8537988950559885,0.02050380800163941
BERGER_PLATELET_HYPERREACTIVITY_PRESS_DOWN,-1.4642527090009965,0.01923398325086892,1.9357868360548585,1.7588999710884938e-4
BERGER_PLATELET_HYPERREACTIVITY_PRESS_UP,0.6247773676610976,1,-1.7730769759508684,0.02607599591295776
BERNARD_PPAPDC1B_TARGETS_DN,-0.9283449403064352,0.8279637674986513,-0.8889656717484822,0.795250966865975
BERNARD_PPAPDC1B_TARGETS_UP,-1.6441908159209695,0.13601787578321808,0.904547173469251,0.7811461418938055
BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_DN,1.2021764479247035,0.5461615250151481,-0.7455037517758759,0.9026605359805732
BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_UP,1.160124713798392,0.5906391244256844,-1.1444889537242797,0.550949766823714
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN,-1.1308976951442231,0.34753512391181013,-1.828010165389414,0.0056581705469368766
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP,1.120352690447066,0.5466706053970758,1.563939687517082,0.06187976706917669
BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN,1.0771988791261577,0.6329128195629502,-1.0441167620753495,0.6195392089093368
BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_UP,0.8203073417334941,0.9345274586549868,-0.9570066848556219,0.7444472230620283
BHATTACHARYA_EMBRYONIC_STEM_CELL,-1.243415634490314,0.39637939400023425,-0.9671923505986888,0.7101424927837255
BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN,-0.9540080856461456,0.8120275526572377,-1.2554962631382265,0.37893248497702364
BHAT_ESR1_TARGETS_NOT_VIA_AKT1_UP,1.3060774375814646,0.2637337192474674,-1.3716892470966198,0.2139296829782912
BHAT_ESR1_TARGETS_VIA_AKT1_DN,-0.9251700136404503,0.8420935623610125,-1.0839736770919874,0.5810096753624795
BHAT_ESR1_TARGETS_VIA_AKT1_UP,1.5462678534049676,0.014821644517547741,-1.6546301397245107,0.018952659513207005
BIDUS_METASTASIS_DN,0.8061346286586045,0.9494220779003526,-1.2103392819543386,0.3847943694122123
BIDUS_METASTASIS_UP,-1.3888089113116773,0.08475235810306626,1.8382580920599236,0.0047090977272700695
BILANGES_RAPAMYCIN_SENSITIVE_GENES,-1.2067544072600795,0.4886080943142929,-0.743890530131612,0.8922626317113306
BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2,-1.3664519732177187,0.2671091881065384,-1.1678165940151053,0.4890536827265065
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES,0.6707824418223042,0.9842217923920052,-1.906280473703851,0.012947743595991656
BILANGES_SERUM_RESPONSE_TRANSLATION,-1.0898019987970167,0.6384976525821596,-1.6397599256580229,0.11988975712124442
BILANGES_SERUM_SENSITIVE_GENES,1.2257935093988777,0.4815608599678564,-0.8900871834411356,0.7855983193991608
BILANGES_SERUM_SENSITIVE_VIA_TSC1,0.9297334370704674,0.8017052794074714,-1.747438796650355,0.07991333606840025
BILANGES_SERUM_SENSITIVE_VIA_TSC2,-1.5612436641483478,0.20961742935336505,-1.5013165601666911,0.2057091234509141
BILBAN_B_CLL_LPL_DN,1.549753614156981,0.23711558285010123,0.8742268089821129,0.8016782810356509
BILBAN_B_CLL_LPL_UP,-1.0388584181391394,0.6575647926378051,0.9336025949240194,0.7423441069707706
BILD_CTNNB1_ONCOGENIC_SIGNATURE,-1.370113282407741,0.26506031674151226,1.0972200743251594,0.518124015040114
BILD_E2F3_ONCOGENIC_SIGNATURE,-1.5008753074009362,0.01599787310848632,0.9567529800435469,0.7542114639429414
BILD_HRAS_ONCOGENIC_SIGNATURE,1.4314592393529908,0.06949154701883598,-1.3530343290799807,0.20731235638067935
BILD_MYC_ONCOGENIC_SIGNATURE,-0.9092343797710792,0.923867913908913,-1.6066958609118558,0.051081952747340786
BILD_SRC_ONCOGENIC_SIGNATURE,-1.0060914886240269,0.7113605619829686,-1.4749452578478064,0.19885272477865068
BIOCARTA_41BB_PATHWAY,-0.8875739464721455,0.8393862536066325,0.6629564994580093,0.9465195015917403
BIOCARTA_AGR_PATHWAY,-1.2769686637549007,0.39060500961370553,-0.7606864933524555,0.8733439394669844
BIOCARTA_AKT_PATHWAY,-0.7085640104544542,0.9546785970539822,0.9010113665276198,0.7722100055038909
BIOCARTA_ALK_PATHWAY,-1.3988080867268524,0.29752902634282097,-1.310620794342527,0.37433082488670555
BIOCARTA_AMI_PATHWAY,0.962655778530155,0.7759313280546817,-1.8841518841340694,0.0077586449858897824
