gene,n_appearances,appears_in
ZNF771,2,AMD-Macula_K562_GWPS; Senescence_K562_GWPS
GPS2,2,AMD-Macula_RPE1; Redox_K562_GWPS
RANBP2,2,Redox_RPE1; AMD-Macula_K562_GWPS
CABIN1,2,AMD-Macula_RPE1; Inflammation_RPE1
ALAD,2,AMD-Macula_K562_GWPS; Inflammation_K562_GWPS
GLRX5,2,Senescence_RPE1; Inflammation_RPE1
FXYD5,2,AMD-Macula_K562_GWPS; Redox_K562_GWPS
INO80D,2,AMD-Macula_RPE1; AMD-nonMacula_K562_GWPS
IST1,2,Age_RPE1; Redox_RPE1
FTSJ3,2,Age_RPE1; AMD-nonMacula_RPE1
UBA2,2,Age_RPE1; Age_K562_GWPS
TBX18,2,Senescence_K562_GWPS; Inflammation_K562_GWPS
PSMC1,2,AMD-nonMacula_RPE1; Redox_K562_GWPS
FYN,2,Age_RPE1; Redox_RPE1
MEPCE,2,Age_RPE1; Redox_RPE1
RDH14,2,AMD-Macula_K562_GWPS; Redox_K562_GWPS
COQ5,2,Senescence_RPE1; Inflammation_RPE1
DPAGT1,2,AMD-nonMacula_RPE1; Redox_RPE1
MED12,2,Age_RPE1; Age_K562_GWPS
CYC1,2,Age_RPE1; Senescence_RPE1
MCEE,2,Inflammation_RPE1; AMD-Macula_K562_GWPS
PRODH,2,AMD-Macula_RPE1; Redox_RPE1
TPT1,2,Age_RPE1; AMD-nonMacula_K562_GWPS
MEF2A,2,AMD-Macula_RPE1; AMD-nonMacula_RPE1
CDC123,2,AMD-nonMacula_RPE1; Redox_K562_GWPS
TPR,2,Age_RPE1; Redox_RPE1
MRPS26,2,AMD-Macula_RPE1; Senescence_RPE1
RSRC2,2,AMD-Macula_RPE1; Inflammation_K562_GWPS
ZFP69B,2,AMD-Macula_RPE1; AMD-nonMacula_RPE1
RPRD1B,2,Age_RPE1; Age_K562_GWPS
UPF1,2,AMD-Macula_K562_GWPS; Redox_K562_GWPS
CHMP5,2,Redox_RPE1; Redox_K562_GWPS
ACTB,2,AMD-nonMacula_RPE1; Senescence_RPE1
RHOQ,2,AMD-Macula_RPE1; Senescence_RPE1
PUM1,2,Age_RPE1; Senescence_K562_GWPS
MRPS18C,2,Senescence_RPE1; Inflammation_RPE1
SLC39A9,2,AMD-nonMacula_RPE1; Age_K562_GWPS
MRPL27,2,Senescence_RPE1; Redox_K562_GWPS
KDM6A,2,Senescence_RPE1; Inflammation_RPE1
NCOA4,2,AMD-Macula_RPE1; AMD-nonMacula_RPE1
U2AF1,2,Age_RPE1; AMD-nonMacula_RPE1
YEATS4,2,Redox_RPE1; Redox_K562_GWPS
MIER1,2,Inflammation_RPE1; Age_K562_GWPS
DPH1,2,AMD-Macula_RPE1; AMD-nonMacula_RPE1
GET1,2,AMD-Macula_RPE1; Inflammation_RPE1
MRPL11,2,Redox_RPE1; Inflammation_RPE1
MRPS5,2,AMD-Macula_RPE1; Senescence_RPE1
COPS4,2,AMD-nonMacula_RPE1; Age_K562_GWPS
IK,2,AMD-nonMacula_RPE1; Redox_RPE1
TSFM,2,AMD-Macula_RPE1; AMD-nonMacula_RPE1
SDE2,2,Age_RPE1; AMD-nonMacula_RPE1
ZNF497,2,AMD-Macula_K562_GWPS; Senescence_K562_GWPS
ACOT12,2,AMD-Macula_RPE1; AMD-nonMacula_RPE1
SKP1,2,Inflammation_RPE1; Age_K562_GWPS
NMNAT1,2,Age_K562_GWPS; Senescence_K562_GWPS
CYP2A13,2,AMD-nonMacula_RPE1; Senescence_RPE1
HOXC10,2,Senescence_RPE1; Inflammation_RPE1
TRNT1,2,Age_RPE1; Redox_RPE1
TAOK3,2,AMD-nonMacula_K562_GWPS; Senescence_K562_GWPS
INTS14,2,Age_RPE1; AMD-nonMacula_RPE1
POGLUT3,2,Age_RPE1; AMD-Macula_RPE1
RAD54L,2,Senescence_K562_GWPS; Redox_K562_GWPS
NEDD8-MDP1,2,AMD-nonMacula_RPE1; Age_K562_GWPS
FARSA,2,Redox_RPE1; Age_K562_GWPS
ESPN,2,Senescence_RPE1; Inflammation_K562_GWPS
DHX9,2,AMD-nonMacula_RPE1; Inflammation_RPE1
PPP1R37,2,Age_RPE1; AMD-Macula_RPE1
TMED2,2,Inflammation_RPE1; AMD-nonMacula_K562_GWPS
EIF5A,2,Age_RPE1; Age_K562_GWPS
FBXO5,2,Age_RPE1; Senescence_K562_GWPS
HMGB1,2,AMD-nonMacula_RPE1; Inflammation_RPE1
PSMD7,2,AMD-Macula_RPE1; Age_K562_GWPS
NEMF,2,Senescence_RPE1; Inflammation_RPE1
SF1,2,Inflammation_RPE1; Inflammation_K562_GWPS
SNW1,2,Age_RPE1; Senescence_RPE1
ACIN1,2,Senescence_RPE1; Redox_RPE1
PPIL1,2,AMD-Macula_RPE1; Inflammation_K562_GWPS
RBM25,2,Age_RPE1; Age_K562_GWPS
WNK1,2,AMD-Macula_RPE1; Inflammation_RPE1
FOXL2,2,Inflammation_RPE1; AMD-Macula_K562_GWPS
MEX3A,2,Age_K562_GWPS; Redox_K562_GWPS
DDX54,2,Senescence_RPE1; Inflammation_RPE1
CDC5L,2,Age_RPE1; Redox_RPE1
PSMB3,2,AMD-nonMacula_RPE1; Redox_RPE1
EIF2S1,2,Age_RPE1; Redox_RPE1
HSPA5,2,AMD-nonMacula_RPE1; Redox_RPE1
EIF2B4,2,Age_RPE1; Redox_RPE1
HNRNPA1,2,AMD-Macula_RPE1; Senescence_RPE1
PEX11B,2,Age_K562_GWPS; AMD-Macula_K562_GWPS
HEXIM1,2,Age_RPE1; Age_K562_GWPS
LSM2,2,Redox_RPE1; Age_K562_GWPS
TBC1D28,2,Senescence_RPE1; Inflammation_RPE1
MRPL53,2,Redox_RPE1; Redox_K562_GWPS
CEP85,2,AMD-Macula_RPE1; Inflammation_RPE1
RPN2,2,AMD-nonMacula_RPE1; Redox_RPE1
SLC1A5,2,Age_RPE1; Redox_RPE1
COX7B,2,Senescence_RPE1; Redox_K562_GWPS
DNAAF3,2,AMD-Macula_RPE1; AMD-nonMacula_RPE1
WBP1,2,AMD-nonMacula_RPE1; Senescence_RPE1
TTC9C,2,AMD-Macula_K562_GWPS; Senescence_K562_GWPS
SMU1,2,AMD-nonMacula_RPE1; Redox_RPE1
TVP23C,2,AMD-nonMacula_RPE1; Inflammation_RPE1
CNOT3,2,Age_K562_GWPS; Redox_K562_GWPS
ARID3A,2,AMD-nonMacula_RPE1; Inflammation_RPE1
TSR1,2,Redox_RPE1; Inflammation_RPE1
TULP1,2,AMD-Macula_RPE1; AMD-nonMacula_RPE1
CHD4,2,Inflammation_RPE1; Inflammation_K562_GWPS
RNF187,2,AMD-Macula_K562_GWPS; Senescence_K562_GWPS
SHLD2,2,Senescence_K562_GWPS; Redox_K562_GWPS
MRPL45,2,Senescence_RPE1; Inflammation_RPE1
INO80E,2,Inflammation_RPE1; Redox_K562_GWPS
POGZ,2,Age_RPE1; Senescence_RPE1
BCL2L1,2,AMD-Macula_RPE1; Senescence_RPE1
CTCF,2,Age_RPE1; Inflammation_K562_GWPS
PRKAR1B,2,Senescence_K562_GWPS; Inflammation_K562_GWPS
ARFRP1,2,AMD-Macula_RPE1; Redox_RPE1
CNOT2,2,Redox_RPE1; Redox_K562_GWPS
