Perturbation,Gene_Target,Axis_Score
2787_EXOSC10_P1P2_ENSG00000171824,EXOSC10,0.040574066
5673_NIP7_P1P2_ENSG00000132603,NIP7,0.04027631
5740_NOM1_P1P2_ENSG00000146909,NOM1,0.04003151
5766_NPEPPS_P1P2_ENSG00000141279,NPEPPS,0.040029533
7576_RSL1D1_P1_ENSG00000171490,RSL1D1,0.039727665
5365_MYBBP1A_P1P2_ENSG00000132382,MYBBP1A,0.039482675
801_BCL2L1_P1_ENSG00000171552,BCL2L1,0.039382305
5910_NXF1_P1_ENSG00000162231,NXF1,0.03908589
5770_NPM1_P1P2_ENSG00000181163,NPM1,0.039017398
9185_TOR2A_P1P2_ENSG00000160404,TOR2A,0.03887469
2614_EMC4_P1P2_ENSG00000128463,EMC4,0.038231473
7478_RPL7L1_P1P2_ENSG00000146223,RPL7L1,0.038231157
81_ACD_P1P2_ENSG00000102977,ACD,0.038146988
8657_TAF1B_P1P2_ENSG00000115750,TAF1B,0.03805265
3948_HSD17B10_P1P2_ENSG00000072506,HSD17B10,0.037759088
9652_USP36_P1P2_ENSG00000055483,USP36,0.037550084
6871_PSMD3_P1P2_ENSG00000108344,PSMD3,0.037418023
5232_MRPL49_P1P2_ENSG00000149792,MRPL49,0.037350737
759_BANP_P1P2_ENSG00000172530,BANP,0.037145
6560_POLR3F_P1P2_ENSG00000132664,POLR3F,0.036942307
6868_PSMD14_P1P2_ENSG00000115233,PSMD14,0.03666093
7407_RNPS1_P1P2_ENSG00000205937,RNPS1,0.036562253
7918_SIN3A_P1_ENSG00000169375,SIN3A,0.036442474
5729_NOC2L_P1P2_ENSG00000188976,NOC2L,0.036063332
7198_RCC1_P1_ENSG00000180198,RCC1,0.035733476
6073_PARN_P1P2_ENSG00000140694,PARN,0.035656646
6577_POP7_P1P2_ENSG00000172336,POP7,0.035584673
874_BOP1_P1_ENSG00000261236,BOP1,0.034645602
204_AHCY_P1P2_ENSG00000101444,AHCY,0.033608
8670_TAF8_P1P2_ENSG00000137413,TAF8,0.033441428
2613_EMC3_P2_ENSG00000125037,EMC3,0.033323474
3584_GTF3C1_P1P2_ENSG00000077235,GTF3C1,0.033322822
8326_SPATA5_P1P2_ENSG00000145375,SPATA5,0.03330938
2305_DNAJC9_P1P2_ENSG00000213551,DNAJC9,0.032978747
7163_RBM19_P1P2_ENSG00000122965,RBM19,0.03297173
6629_PPIL1_P1P2_ENSG00000137168,PPIL1,0.032694142
5789_NR2C2AP_P1P2_ENSG00000184162,NR2C2AP,0.03179195
5651_NFRKB_P1P2_ENSG00000170322,NFRKB,0.031741414
5952_OR2T29_ENST00000328570.3_ENSG00000182783,OR2T29,0.03167199
8653_TAF12_P1P2_ENSG00000120656,TAF12,0.031562224
5707_NMD3_P1P2_ENSG00000169251,NMD3,0.03155432
9163_TOMM20_P1P2_ENSG00000173726,TOMM20,0.031495728
7076_RAD9A_P1P2_ENSG00000172613,RAD9A,0.031327933
4487_KXD1_P1P2_ENSG00000105700,KXD1,0.030999668
4331_KDM8_P1P2_ENSG00000155666,KDM8,0.030951202
8491_STARD7_P1P2_ENSG00000084090,STARD7,0.03092232
8157_SMC3_P1P2_ENSG00000108055,SMC3,0.030819383
11120_non-targeting_non-targeting_non-targeting,non-targeting,0.030762363
2364_DPY19L2_P1P2_ENSG00000177990,DPY19L2,0.030735731
5734_NOL12_P1P2_ENSG00000273899,NOL12,0.03072055
2858_FAM136A_P1P2_ENSG00000035141,FAM136A,0.03064005
1222_CBLN1_P1P2_ENSG00000102924,CBLN1,0.030605022
309_ANAPC5_P1P2_ENSG00000089053,ANAPC5,0.030426435
7077_RAE1_P1P2_ENSG00000101146,RAE1,0.030420413
2812_F8A1_P1P2_ENSG00000277203,F8A1,0.030270286
8437_SRSF6_P2_ENSG00000124193,SRSF6,0.030230263
6553_POLR2L_P1P2_ENSG00000177700,POLR2L,0.030181063
5504_NCL_P1_ENSG00000115053,NCL,0.029932994
4349_PRORP_P1P2_ENSG00000100890,PRORP,0.029893119
6605_PPAN_P1P2_ENSG00000130810,PPAN,0.029701319
5344_MTRNR2L1_P1P2_ENSG00000256618,MTRNR2L1,0.028797098
6215_PELP1_P1P2_ENSG00000141456,PELP1,0.028600758
5546_NDUFAF3_P1P2_ENSG00000178057,NDUFAF3,0.0285653
5420_N6AMT1_P1P2_ENSG00000156239,N6AMT1,0.02853307
7562_RRP15_P1P2_ENSG00000067533,RRP15,0.028491477
7062_RAD21_P1P2_ENSG00000164754,RAD21,0.02840498
6546_POLR2E_P1_ENSG00000099817,POLR2E,0.02808904
2526_EIF1AD_P1P2_ENSG00000175376,EIF1AD,0.028009495
9167_TOMM40_P1P2_ENSG00000130204,TOMM40,0.027910447
1333_CCNK_P1_ENSG00000090061,CCNK,0.027839478
5739_NOLC1_P1P2_ENSG00000166197,NOLC1,0.027735477
33_ABCF1_P1_ENSG00000204574,ABCF1,0.0276342
7403_RNMT_P1P2_ENSG00000101654,RNMT,0.027039392
5426_NAA20_P1P2_ENSG00000173418,NAA20,0.026953656
7465_RPL36A_P1P2_ENSG00000241343,RPL36A,0.02693453
7564_RRP1_P1P2_ENSG00000160214,RRP1,0.026738647
11100_non-targeting_non-targeting_non-targeting,non-targeting,0.026614608
10236_ZNF24_P1P2_ENSG00000172466,ZNF24,0.026582124
2551_EIF3G_P1P2_ENSG00000130811,EIF3G,0.026557207
6558_POLR3D_P1P2_ENSG00000168495,POLR3D,0.026348649
1329_CCNH_P1P2_ENSG00000134480,CCNH,0.026249435
3124_FNBP4_P1P2_ENSG00000109920,FNBP4,0.02623418
713_AURKAIP1_P1P2_ENSG00000175756,AURKAIP1,0.02601778
10336_ZNF407_ENST00000299687.5_ENSG00000215421,ZNF407,0.025918264
139_ADAT2_P1P2_ENSG00000189007,ADAT2,0.025871046
1960_CUL1_P1P2_ENSG00000055130,CUL1,0.025770357
2121_DDX42_P1P2_ENSG00000198231,DDX42,0.02573754
8237_SNW1_P2_ENSG00000100603,SNW1,0.025698563
645_ATP1A1_P1P2_ENSG00000163399,ATP1A1,0.02567884
3792_HIST2H3D_ENST00000331491.1_ENSG00000183598,HIST2H3D,0.025518699
4042_IFITM2_P1P2_ENSG00000185201,IFITM2,0.025491877
1605_CHTF8_P1P2_ENSG00000168802,CHTF8,0.02545234
10980_non-targeting_non-targeting_non-targeting,non-targeting,0.025409743
9785_WARS_P1P2_ENSG00000140105,WARS,0.025311878
4126_INO80B_P1P2_ENSG00000115274,INO80B,0.02524992
5737_NOL8_P1P2_ENSG00000198000,NOL8,0.025149029
4474_KRT10_P1_ENSG00000186395,KRT10,0.02510604
7473_RPL41_P1P2_ENSG00000229117,RPL41,0.025002228
10587_ZNF718_ENST00000400172.3_ENSG00000250312,ZNF718,0.024989689
6876_PSMD8_P1P2_ENSG00000099341,PSMD8,0.024902636
7400_RNGTT_P1P2_ENSG00000111880,RNGTT,0.024703924
9618_URB2_P1P2_ENSG00000135763,URB2,0.024614424
2561_EIF4A3_P1P2_ENSG00000141543,EIF4A3,0.024433415
216_AIFM1_P1P2_ENSG00000156709,AIFM1,0.02438318
1320_CCND1_P1_ENSG00000110092,CCND1,0.0243427
2189_DHODH_P1_ENSG00000102967,DHODH,0.024189802
3787_HIST2H2AC_P1P2_ENSG00000184260,HIST2H2AC,0.024175165
3617_H3F3A_P1P2_ENSG00000163041,H3F3A,0.023980726
5599_NELFB_P1P2_ENSG00000188986,NELFB,0.023970295
9753_VPS37A_P1P2_ENSG00000155975,VPS37A,0.02389218
5429_NAA35_P1P2_ENSG00000135040,NAA35,0.02388034
8826_TEX10_P1P2_ENSG00000136891,TEX10,0.023866635
7142_RBBP6_P1P2_ENSG00000122257,RBBP6,0.023832908
2346_DPH1_P1_ENSG00000108963,DPH1,0.023808574
5000_METTL23_P1P2_ENSG00000181038,METTL23,0.023738755
8818_TERF1_P1P2_ENSG00000147601,TERF1,0.023567546
4896_MCL1_P1P2_ENSG00000143384,MCL1,0.023519974
901_BRIX1_P1P2_ENSG00000113460,BRIX1,0.023519807
3531_GRB2_P1_ENSG00000177885,GRB2,0.023473155
5649_NFKBIE_P1P2_ENSG00000146232,NFKBIE,0.023435576
9867_WNK1_P1P2_ENSG00000060237,WNK1,0.023171235
5246_MRPS16_P1P2_ENSG00000182180,MRPS16,0.022921454
4921_MDN1_P1P2_ENSG00000112159,MDN1,0.022895226
5413_MZF1_P1P2_ENSG00000099326,MZF1,0.022811487
8458_SSRP1_P1P2_ENSG00000149136,SSRP1,0.022795955
39_ABHD11_P1P2_ENSG00000106077,ABHD11,0.022767449
5315_MTG2_P1P2_ENSG00000101181,MTG2,0.022662774
2310_DNLZ_P1P2_ENSG00000213221,DNLZ,0.022360828
7457_RPL29_P1P2_ENSG00000162244,RPL29,0.022360222
2353_DPM2_P1P2_ENSG00000136908,DPM2,0.022350615
7668_SBDS_P1P2_ENSG00000126524,SBDS,0.022328274
5357_MVK_P1P2_ENSG00000110921,MVK,0.022306345
3985_HSPD1_P1P2_ENSG00000144381,HSPD1,0.022297857
9458_TXNL4B_P1P2_ENSG00000140830,TXNL4B,0.022285555
7917_SIN3A_P2_ENSG00000169375,SIN3A,0.0221885
3585_GTF3C2_P1P2_ENSG00000115207,GTF3C2,0.022158371
6119_PCF11_P1P2_ENSG00000165494,PCF11,0.021902507
10916_non-targeting_non-targeting_non-targeting,non-targeting,0.02187685
9380_TTC1_P1P2_ENSG00000113312,TTC1,0.021831362
2131_DDX55_P1P2_ENSG00000111364,DDX55,0.021778086
5424_NAA15_P1P2_ENSG00000164134,NAA15,0.021757143
6112_PCBP2_P2_ENSG00000197111,PCBP2,0.021708392
9690_UXS1_P1P2_ENSG00000115652,UXS1,0.021681812
2730_ESF1_P2_ENSG00000089048,ESF1,0.02166207
3910_HOXC10_P1P2_ENSG00000180818,HOXC10,0.021605594
2314_DNMT1_P1P2_ENSG00000130816,DNMT1,0.021564575
6563_POLR3H_P1P2_ENSG00000100413,POLR3H,0.021540308
9390_TTC4_P1P2_ENSG00000243725,TTC4,0.021346666
6916_PTMA_P1P2_ENSG00000187514,PTMA,0.0212649
10706_ZRANB2_P1P2_ENSG00000132485,ZRANB2,0.021244686
7362_RNF168_P1P2_ENSG00000163961,RNF168,0.021230742
784_BCAR1_P2_ENSG00000050820,BCAR1,0.021191647
3398_GLMN_P1P2_ENSG00000174842,GLMN,0.021122394
6879_PSME2_P1P2_ENSG00000100911,PSME2,0.020948062
9512_UBE2M_P1P2_ENSG00000130725,UBE2M,0.020887442
6883_PSMG1_P1P2_ENSG00000183527,PSMG1,0.020852476
37_ABCG1_P1P2_ENSG00000160179,ABCG1,0.020773616
1131_C9orf16_P1P2_ENSG00000171159,C9orf16,0.020615205
