Perturbation,Oxidative_Score,Inflammatory_Score,Senescence_Score
2692_ERC1_P1P2_ENSG00000082805,0.012933772,-0.026389731,-0.0062659075
4031_IDUA_P1P2_ENSG00000127415,0.026098525,-0.026207695,-0.04068519
11046_non-targeting_non-targeting_non-targeting,-0.010160883,-0.026203107,-0.012923853
8378_SPRYD7_P1P2_ENSG00000123178,0.0111389775,-0.02617875,0.0013492665
5115_MLST8_P1P2_ENSG00000167965,-0.03349461,-0.026178349,-0.042139404
11204_non-targeting_non-targeting_non-targeting,0.0021391937,-0.026157565,0.009435692
52_ABHD8_P1P2_ENSG00000127220,0.008257195,-0.026050158,0.008989885
8492_STARD8_ENST00000374599.3_ENSG00000130052,0.0023245597,-0.0260354,-0.0024066344
9385_TTC32_P1P2_ENSG00000183891,0.012790617,-0.026031187,-0.008975383
5808_NRBF2_P1P2_ENSG00000148572,-0.00032074997,-0.02598512,-0.03588247
5225_MRPL42_P1P2_ENSG00000198015,-0.08727495,-0.02591387,-0.07524231
7874_SH3BGRL_P1P2_ENSG00000131171,0.017819667,-0.025895799,-0.024450123
2871_FAM168B_P1P2_ENSG00000152102,0.0062333615,-0.025891008,-0.01069667
10256_ZNF275_P1P2_ENSG00000063587,0.0014373641,-0.025865506,0.013727632
6005_OVOL3_ENST00000262637.4_ENSG00000105261,7.576799e-05,-0.025856175,0.027248288
11329_non-targeting_non-targeting_non-targeting,0.011713363,-0.025819482,-0.021167397
8735_TBL1X_P1P2_ENSG00000101849,-0.011979149,-0.025770836,0.012264202
7929_SIRT7_P1P2_ENSG00000187531,-0.20489384,-0.025765453,-0.051788673
1340_CCP110_P1P2_ENSG00000103540,0.007817486,-0.02573562,-0.02546699
1673_CLPP_P1P2_ENSG00000125656,-0.02667036,-0.025715118,-0.039415218
1172_CANT1_P1P2_ENSG00000171302,-0.0026129242,-0.025694557,0.024595954
8527_STK4_P2_ENSG00000101109,0.035563424,-0.025666548,0.05018491
2809_F12_P2_ENSG00000131187,0.0057494147,-0.025610112,-0.018160997
5761_NPAS4_P1P2_ENSG00000174576,0.014419452,-0.025610019,-0.0055374173
11182_non-targeting_non-targeting_non-targeting,0.0004931282,-0.0255366,-0.006296332
3655_HBZ_P1P2_ENSG00000130656,0.021519583,-0.025491256,0.028200494
10850_non-targeting_non-targeting_non-targeting,0.009529023,-0.025452847,-0.007546453
456_ARHGAP11A_P1P2_ENSG00000198826,0.017037148,-0.025437593,0.009070017
8839_TFAP4_P1P2_ENSG00000090447,-0.03119379,-0.025435653,-0.09635543
11089_non-targeting_non-targeting_non-targeting,-0.00037375386,-0.025411688,-0.014723851
10041_ZCRB1_P1P2_ENSG00000139168,-0.011602098,-0.025386294,0.041244976
10829_non-targeting_non-targeting_non-targeting,-0.0011400755,-0.025360584,-0.028253378
6647_PPOX_P1P2_ENSG00000143224,-0.017416708,-0.025354087,-0.010689372
3062_FES_P1P2_ENSG00000182511,0.043309536,-0.025326002,-0.03582249
2653_ENTPD7_P1P2_ENSG00000198018,0.039213378,-0.0253166,0.021349201
5385_MYL12B_P1P2_ENSG00000118680,-0.0033643297,-0.02524596,0.00037501546
8146_SMARCB1_P1_ENSG00000099956,0.013720735,-0.025234086,0.026183218
