Perturbation,Gene_Target,Axis_Score
1152_CAD_P1P2_ENSG00000084774,CAD,0.07229213
7515_RPS26_P1P2_ENSG00000197728,RPS26,0.07161634
9303_TRMT112_P1P2_ENSG00000173113,TRMT112,0.07148356
1013_C18orf32_P1P2_ENSG00000177576,C18orf32,0.07091701
7729_SDR39U1_P1P2_ENSG00000100445,SDR39U1,0.07085258
8650_TADA3_P1P2_ENSG00000171148,TADA3,0.07058094
7443_RPL18_P1P2_ENSG00000063177,RPL18,0.07028292
4969_MEIS3_P1_ENSG00000105419,MEIS3,0.07023018
7439_RPL15_P1P2_ENSG00000174748,RPL15,0.0695727
33_ABCF1_P1_ENSG00000204574,ABCF1,0.069569
3567_GTF2A2_P1P2_ENSG00000140307,GTF2A2,0.06934039
9480_UBA3_P1P2_ENSG00000144744,UBA3,0.06929328
8605_SURF6_P1P2_ENSG00000148296,SURF6,0.068560265
3194_FOXRED2_P1P2_ENSG00000100350,FOXRED2,0.06840508
2925_FAM50A_P1P2_ENSG00000071859,FAM50A,0.06797963
2209_DHX33_P1P2_ENSG00000005100,DHX33,0.067934126
373_AP2A1_P1P2_ENSG00000196961,AP2A1,0.06664687
8791_TCOF1_P1P2_ENSG00000070814,TCOF1,0.06654686
8_AAMP_P1P2_ENSG00000127837,AAMP,0.06641901
3589_GTF3C6_P1P2_ENSG00000155115,GTF3C6,0.06620681
8576_SUGP1_P1P2_ENSG00000105705,SUGP1,0.066172756
7482_RPLP0_P1P2_ENSG00000089157,RPLP0,0.06591263
4950_MED27_P1P2_ENSG00000160563,MED27,0.065282926
8657_TAF1B_P1P2_ENSG00000115750,TAF1B,0.06482203
5410_MYSM1_P1P2_ENSG00000162601,MYSM1,0.064731374
2131_DDX55_P1P2_ENSG00000111364,DDX55,0.064668246
9117_TMX2_P1P2_ENSG00000213593,TMX2,0.06461594
7492_RPP38_P1P2_ENSG00000152464,RPP38,0.06429381
5600_NELFCD_P1P2_ENSG00000101158,NELFCD,0.06409683
1211_CAST_P2_ENSG00000153113,CAST,0.06402189
8663_TAF3_P1P2_ENSG00000165632,TAF3,0.06350351
