perturbation,spearman_rho,gene_symbol,ensembl_id
7474_RPL4_P1P2_ENSG00000174444,0.038222829558280436,RPL4,ENSG00000174444
779_BBS4_P1P2_ENSG00000140463,0.03816527437510001,BBS4,ENSG00000140463
959_SPINDOC_P1P2_ENSG00000168005,0.038162472586046506,SPINDOC,ENSG00000168005
2027_DAPK3_P1P2_ENSG00000167657,0.03815567526081528,DAPK3,ENSG00000167657
7844_SFT2D1_P1P2_ENSG00000198818,0.038144470031553884,SFT2D1,ENSG00000198818
6869_PSMD1_P1P2_ENSG00000173692,0.03813046012281011,PSMD1,ENSG00000173692
909_BRWD3_P1P2_ENSG00000165288,0.038122730152529434,BRWD3,ENSG00000165288
5884_NUMB_P2_ENSG00000133961,0.03812168092684881,NUMB,ENSG00000133961
4855_MARK4_P1P2_ENSG00000007047,0.03808427685028939,MARK4,ENSG00000007047
3798_HIVEP2_P1P2_ENSG00000010818,0.03807010796795764,HIVEP2,ENSG00000010818
783_BCAP31_P1P2_ENSG00000185825,0.038068303376865065,BCAP31,ENSG00000185825
4706_LTBP3_P1P2_ENSG00000168056,0.03801797041196009,LTBP3,ENSG00000168056
2387_DTD1_P1P2_ENSG00000125821,0.037988779007303006,DTD1,ENSG00000125821
2360_DPP9_P1_ENSG00000142002,0.03795695923932475,DPP9,ENSG00000142002
7110_RAPGEF6_P1P2_ENSG00000158987,0.03795147321446657,RAPGEF6,ENSG00000158987
7088_RALGDS_P2_ENSG00000160271,0.03778499028314168,RALGDS,ENSG00000160271
677_ATP6V0E1_P1P2_ENSG00000113732,0.03772769812898863,ATP6V0E1,ENSG00000113732
8644_TACC3_P2_ENSG00000013810,0.03771501685404981,TACC3,ENSG00000013810
2098_DDR1_P1_ENSG00000204580,0.03767154963026661,DDR1,ENSG00000204580
2640_ENO1_P1P2_ENSG00000074800,0.03765518401291804,ENO1,ENSG00000074800
7289_RHOA_P1P2_ENSG00000067560,0.03761099995370063,RHOA,ENSG00000067560
5073_MIF_P1P2_ENSG00000240972,0.03761089300783235,MIF,ENSG00000240972
9165_TOMM34_P1P2_ENSG00000025772,0.037549922301201216,TOMM34,ENSG00000025772
5050_MIB1_P1P2_ENSG00000101752,0.03747603234098745,MIB1,ENSG00000101752
843_BLM_P1P2_ENSG00000197299,0.037430808690852316,BLM,ENSG00000197299
6100_PBDC1_P1P2_ENSG00000102390,0.03741603570888627,PBDC1,ENSG00000102390
8136_SMAGP_P1P2_ENSG00000170545,0.03740025589419639,SMAGP,ENSG00000170545
859_BMS1_P1P2_ENSG00000165733,0.037392181962879925,BMS1,ENSG00000165733
9240_TRAP1_P1P2_ENSG00000126602,0.03735674530490621,TRAP1,ENSG00000126602
9719_VEGFB_P1P2_ENSG00000173511,0.03734315258139633,VEGFB,ENSG00000173511
6667_PPP1R2_P1P2_ENSG00000184203,0.03731643442037759,PPP1R2,ENSG00000184203
2231_DIS3L2_P1P2_ENSG00000144535,0.03726897068786646,DIS3L2,ENSG00000144535
8691_TARBP2_P1P2_ENSG00000139546,0.03721309580733711,TARBP2,ENSG00000139546
9524_UBE3A_P1P2_ENSG00000114062,0.037158594843998353,UBE3A,ENSG00000114062
1688_CMAS_P1P2_ENSG00000111726,0.03715616206636421,CMAS,ENSG00000111726
386_AP4M1_P1P2_ENSG00000221838,0.037125143437864015,AP4M1,ENSG00000221838
8500_STAT6_P1P2_ENSG00000166888,0.03708209675346552,STAT6,ENSG00000166888
