ID_REF,gene_symbol,logfc_amd_vs_ctrl,pvalue
288,288,-0.0025788392533065974,0.9638024801091573
290,290,-0.010596884905709203,0.8338561582202701
291,291,-0.12285919392744216,0.04059518050004673
292,292,-0.03782039732418063,0.5829570902655654
293,293,0.08288394387809461,0.26061826480526507
294,294,0.020774943208949903,0.7915002678616325
295,295,0.04319042139101992,0.3840335770808332
296,296,0.04449834996155877,0.4165847739527071
297,297,-0.09975584406225124,0.09227933954873023
298,298,-0.01188210541574719,0.842106944096507
299,299,-0.19053575580411186,0.22949569667029376
300,300,-0.08133228135312764,0.41280232309634324
301,301,0.009541922579051842,0.8546874865965999
302,302,0.02693504713082362,0.6562065341186958
303,303,0.04767549222880785,0.43194315033161756
304,304,-0.06360545860649536,0.2535920614533534
305,305,-0.017919343762182738,0.7717686492788647
306,306,0.036895227738587444,0.6964344267542746
307,307,0.12106191064624028,0.5272816721837564
308,308,-0.028033585991935617,0.5757694827152584
311,311,0.055034694964240405,0.4307561951882166
312,312,0.027241978646680653,0.6573717376261782
313,313,0.0353382891304479,0.6319862862795327
314,314,-0.040763690179440815,0.7030031417461007
315,315,0.15855255865460016,0.08768252940883982
316,316,-0.14370263761238267,0.09219619591379263
317,317,0.3105025723499337,0.18006253350088858
318,318,0.07152156689550182,0.32962761330029444
319,319,-0.045413716164841134,0.4757466566034756
320,320,0.13348850216366293,0.03696601579672551
321,321,-0.027547175686418512,0.6830973241453866
322,322,0.02314780021061713,0.6495196910406904
323,323,0.09319662557313935,0.2673401400479125
324,324,-0.002111406295436158,0.9725600848594289
325,325,-0.031099765734911244,0.6152664661078722
326,326,0.09755995554255481,0.3279778639174228
327,327,-0.0789307385952811,0.21591900297190011
328,328,-0.06593799318113769,0.28361536492493944
329,329,-0.013022610040794191,0.8668078671893269
331,331,0.18631637329591744,0.005993621984862035
350,350,-0.10550463306475266,0.04628606918795733
351,351,-0.19413021234380068,0.03164271054490858
352,352,-0.08872131007736161,0.20085867592286621
353,353,-0.08779855014111515,0.12431191486213967
354,354,0.0871258976085123,0.2264540030594228
355,355,-0.15129390193403935,0.09213127247139935
356,356,-0.1458370685492092,0.007016262094207147
357,357,0.08071045643827279,0.48159231390486523
358,358,-0.0886677178860964,0.1385231233234621
359,359,0.004435955435678096,0.950034257183044
361,361,-0.07378573929567356,0.35952502667828756
362,362,-0.04299655857070639,0.4179095535123478
363,363,-0.10921482054695986,0.499130007968817
364,364,0.16639060657673177,0.0382203044656332
365,365,0.08511187665054187,0.4286624487670714
366,366,-0.053724195567005584,0.3584340706875876
368,368,-0.013599882984280942,0.7947870449901676
369,369,-0.07146243592036194,0.31324569999368007
370,370,-0.09507548200741045,0.10364690800545395
371,371,0.07056571416060597,0.46494695426927024
373,373,-0.01587151531941533,0.7337840829167229
374,374,0.00583844439432224,0.9117631514852818
375,375,0.009322885669055925,0.8744398901493631
376,376,-0.11961156045542154,0.13677447004841034
377,377,-0.11499417011284585,0.6769028888084481
378,378,-0.014932434742960687,0.8307248026583716
